/* DATA DESCRIPTION:
Citation:	Thomson, John; Nixon, S; Summerhayes, Colin P; Schönfeld, Joachim; Zahn, Rainer; Grootes, Pieter Meiert (1999): Stable oxygen and carbon isotope ratios of Cibicidoides wuellerstorfi of sediment core MD95-2039. PANGAEA, https://doi.org/10.1594/PANGAEA.59909, 
	In supplement to: Thomson, J et al. (1999): Implications for sedimentation changes on the Iberian margin over the last two glacial/interglacial transitions from (230Th-excess)0 systematics. Earth and Planetary Science Letters, 165(3-4), 255-270, https://doi.org/10.1016/S0012-821X(98)00265-9
Related to:	Thomson, John; Nixon, S; Summerhayes, Colin P; Rohling, Eelco J; Schönfeld, Joachim; Zahn, Rainer; Grootes, Pieter Meiert; Abrantes, Fatima F; Gaspar, Luis; Vaqueiro, Sandra (2000): Enhanced productivity on the Iberian margin during glacial/interglacial transitions revealed by barium and diatoms. Journal of the Geological Society, Geological Society of London, 157(3), 667-677, http://jgs.lyellcollection.org/cgi/content/abstract/157/3/667
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: 40.578500 * LONGITUDE: -10.348500
	DATE/TIME START: 1995-07-07T00:00:00 * DATE/TIME END: 1995-07-07T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.02 m * MAXIMUM DEPTH, sediment/rock: 35.20 m
Event(s):	MD95-2039 (MD952039) * LATITUDE: 40.578500 * LONGITUDE: -10.348500 * DATE/TIME: 1995-07-07T00:00:00 * ELEVATION: -3381.0 m * Recovery: 36 m * LOCATION: Porto Seamount * CAMPAIGN: MD101 (IMAGES I) (URI: hdl:10013/epic.37487.d001) * BASIS: Marion Dufresne (1995) (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXIV Sections
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Schönfeld, Joachim (jschoenfeld@geomar.de) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Cibicidoides wuellerstorfi, δ18O [‰ PDB] (C. wuellerstorfi δ18O) * PI: Schönfeld, Joachim (jschoenfeld@geomar.de) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	504 data points
*/
Depth [m]	C. wuellerstorfi δ13C [‰ PDB]	C. wuellerstorfi δ18O [‰ PDB]
12.80	0.71	3.78
12.90	0.52	3.72
13.00	0.31	3.73
13.10	0.43	3.81
13.20	0.44	3.77
13.30	0.45	3.95
13.40	0.57	3.88
13.52	0.33	3.75
13.60	0.29	3.75
13.70	-0.23	3.72
14.60	0.06	4.12
14.70	0.04	4.15
15.10	-0.14	4.10
15.30	0.09	4.02
15.40	-0.09	3.81
15.50	0.38	3.95
15.60	0.26	3.71
15.70	0.01	3.49
15.80	0.48	3.56
15.90	0.85	3.59
16.00	0.69	3.44
16.10	0.66	3.48
16.20	0.56	3.58
16.30	0.77	3.28
16.40	0.55	3.42
16.50	0.81	3.29
16.60	0.64	3.13
16.70	0.48	3.22
17.00	0.75	3.61
17.10	0.66	3.68
17.20	0.73	3.52
17.30	0.76	3.49
17.40	0.84	3.24
17.50	0.51	3.28
17.60	0.83	3.25
17.70	0.56	3.29
17.80	0.59	3.28
18.02	0.58	3.59
18.10	0.57	3.55
18.20	0.43	3.33
18.40	0.49	3.50
18.50	0.58	3.62
18.60	0.52	3.41
18.70	0.64	3.24
18.80	0.87	2.70
18.90	0.74	2.68
19.00	0.55	2.52
19.10	0.68	2.53
19.20	0.69	2.55
19.40	0.36	2.62
19.70	-0.20	3.74
19.90	-0.02	4.06
20.00	-0.02	4.34
20.10	-0.19	4.36
20.20	-0.08	4.49
20.30	-0.19	4.49
20.50	-0.33	4.20
20.60	-0.47	4.44
20.70	-0.37	4.39
20.80	-0.44	4.41
20.90	-0.56	4.37
21.02	-0.22	4.29
21.10	-0.31	4.31
21.20	-0.28	4.29
21.30	-0.15	4.23
21.40	-0.39	4.28
21.50	-0.26	4.33
21.60	-0.23	4.11
21.70	-0.20	4.15
21.80	-0.16	4.10
21.90	-0.43	4.19
22.00	-0.51	4.12
22.30	-0.39	4.03
22.60	-0.43	4.18
23.00	-0.36	4.30
23.10	-0.38	4.29
23.20	0.00	4.20
23.30	-0.57	3.86
23.40	-0.42	3.98
23.50	-0.24	4.10
23.80	0.09	4.07
23.90	0.34	3.97
24.02	-0.39	3.76
24.10	-0.42	3.84
24.20	-0.12	3.83
24.50	-0.34	3.94
24.70	-0.19	3.84
24.90	0.00	3.98
25.10	0.09	4.01
25.20	-0.03	3.84
25.30	0.40	3.78
25.40	-0.02	3.35
25.60	0.26	3.42
25.70	0.24	3.16
25.80	0.57	3.07
25.90	0.61	2.88
26.00	0.27	2.73
26.10	0.43	3.01
26.20	0.63	3.16
26.30	0.58	3.03
26.40	0.63	3.00
26.60	0.28	2.80
26.80	0.47	3.19
27.40	0.22	3.76
27.50	-0.03	3.64
27.60	0.51	3.20
27.70	0.26	3.02
27.80	0.46	2.78
27.90	0.31	2.51
28.30	0.27	3.83
28.40	0.18	3.69
28.52	0.19	3.86
28.90	0.08	4.04
29.00	-0.08	4.13
29.10	0.05	3.94
29.20	0.26	3.99
29.30	0.47	3.92
29.50	-0.05	3.96
29.80	0.02	3.74
29.90	-0.14	3.76
31.10	-0.39	4.03
31.60	-0.10	3.86
31.70	0.33	3.72
31.90	0.53	3.62
32.00	0.48	3.44
32.10	0.35	3.41
32.20	0.37	3.24
32.30	0.57	3.19
32.40	0.63	3.06
32.70	-0.38	3.56
32.90	-0.65	3.78
33.20	-0.25	3.92
33.30	-0.21	3.84
33.40	0.07	3.71
33.60	0.34	3.73
33.70	0.55	3.39
33.80	0.45	3.15
34.00	0.29	3.59
34.10	0.18	3.48
34.20	0.20	3.37
34.30	0.36	3.19
34.40	0.19	3.19
34.52	0.19	3.02
34.70	0.21	3.31
34.80	0.58	2.98
34.90	0.41	2.88
35.00	0.13	2.68
35.20	0.32	2.63
