Depth [m],Age [yr BP],C. wuellerstorfi δ13C [‰ PDB]
17.6,99380.0,0.83
17.7,100648.0,0.56
17.8,101916.0,0.59
18.02,104705.0,0.58
18.1,105719.0,0.57
18.2,106987.0,0.43
18.4,109522.0,0.49
18.5,110790.0,0.58
18.6,113396.0,0.52
18.7,116002.0,0.64
18.8,118608.0,0.87
18.9,121214.0,0.74
19.0,123820.0,0.55
19.05,124250.0,/-151.13
19.1,124680.0,0.68
19.15,125110.0,0.58
19.2,125540.0,0.69
19.25,125970.0,0.59
19.35,126830.0,-0.21
19.375,127045.0,-0.20
19.4,127260.0,0.36
19.7,129840.0,-0.20
19.9,131593.0,-0.02
20.0,132470.0,-0.02
20.1,133347.0,-0.19
20.2,134223.0,-0.08
20.3,135100.0,-0.19
20.5,135818.0,-0.33
20.6,136177.0,-0.47
20.7,136536.0,-0.37
20.8,136895.0,-0.44
20.9,137254.0,-0.56
21.02,137685.0,-0.22
21.1,137972.0,-0.31
21.2,138331.0,-0.28
21.3,138690.0,-0.15
21.4,139049.0,-0.39
21.5,139408.0,-0.26
21.6,139767.0,-0.23
21.7,140126.0,-0.20
21.8,140485.0,-0.16
21.9,140844.0,-0.43
22.0,141203.0,-0.51
