/* DATA DESCRIPTION:
Citation:	Schönfeld, Joachim; Zahn, Rainer; de Abreu, Lucia (2003): (Fig. 2) Stable carbon isotope ratios of Cibicidoides wuellerstorfi in sediment core MD95-2039. PANGAEA, https://doi.org/10.1594/PANGAEA.82018, 
	In supplement to: Schönfeld, J et al. (2003): Surface to deep water response to rapid climate changes at the western Iberian Margin. Global and Planetary Change, 36(4), 237-264, https://doi.org/10.1016/S0921-8181(02)00197-2
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: 40.578500 * LONGITUDE: -10.348500
	DATE/TIME START: 1995-07-07T00:00:00 * DATE/TIME END: 1995-07-07T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.020 m * MAXIMUM DEPTH, sediment/rock: 22.000 m
Event(s):	MD95-2039 (MD952039) * LATITUDE: 40.578500 * LONGITUDE: -10.348500 * DATE/TIME: 1995-07-07T00:00:00 * ELEVATION: -3381.0 m * Recovery: 36 m * LOCATION: Porto Seamount * CAMPAIGN: MD101 (IMAGES I) (URI: hdl:10013/epic.37487.d001) * BASIS: Marion Dufresne (1995) (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXIV Sections
Comment:	Another dataseries of d13C-measurements for this core exists. The other series covers the whole core, but at less resolution and without age calibration
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Schönfeld, Joachim (jschoenfeld@geomar.de) * METHOD/DEVICE: Isotope ratio mass spectrometry (URI: https://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	259 data points
*/
Depth [m]	Age [ka BP]	C. wuellerstorfi δ13C [‰ PDB]
4.900	22.24980	0.05
5.000	22.43700	0.05
5.100	22.73550	0.05
5.350	23.20930	0.05
5.400	23.26780	0.10
5.425	23.29700	0.01
5.455	23.80520	0.00
5.500	23.88970	0.07
5.550	23.98370	-0.05
5.600	24.07760	0.16
5.640	24.15280	0.06
5.700	24.26550	-0.05
5.740	24.34070	-0.15
5.800	24.45340	0.03
5.900	24.64130	0.07
6.020	24.86670	0.11
6.100	25.01700	0.16
6.300	25.39280	0.02
6.400	25.58070	0.12
6.480	25.73100	0.14
6.500	25.80980	0.25
6.600	26.20400	0.31
6.700	26.59820	-0.09
6.900	27.38650	0.32
7.000	27.78070	0.33
7.100	28.17480	0.13
7.300	28.96320	0.10
7.400	29.35730	-0.11
7.850	30.64820	0.17
7.900	30.70320	0.23
8.050	30.86840	0.18
8.100	30.92340	0.29
8.150	30.97850	0.37
8.185	31.01700	0.24
8.200	31.06590	0.45
8.250	31.22890	0.53
8.300	31.39190	0.41
8.400	31.71790	0.27
8.600	32.36990	0.45
8.700	32.69590	0.40
8.800	33.02190	0.16
9.020	33.73920	0.61
9.100	34.00000	0.72
9.200	34.32600	0.46
9.225	34.40750	0.31
9.300	34.65200	0.33
9.350	34.81500	0.44
9.375	34.89650	0.49
9.400	34.97800	0.40
9.490	36.02560	0.63
9.525	36.22170	0.51
9.575	36.38110	0.68
9.615	36.50860	0.79
9.675	36.71410	0.44
9.750	37.16560	0.67
9.800	37.46660	0.60
9.900	37.94830	0.25
10.000	38.26440	0.23
10.050	38.37720	0.02
10.130	38.75670	0.07
10.450	40.46670	0.36
10.520	40.71200	0.35
10.600	40.89600	0.38
10.700	41.43270	0.40
10.800	41.75420	0.38
10.900	42.02200	0.20
11.100	42.60000	0.60
11.200	42.81870	0.65
11.300	43.03730	0.51
11.500	43.39470	0.52
11.600	43.53330	0.76
11.700	43.67200	0.75
11.800	43.81070	0.74
11.850	43.88000	0.28
11.900	44.18970	0.24
11.960	44.56130	0.14
12.260	46.35820	0.49
12.300	46.58150	0.42
12.340	46.80480	0.50
12.400	47.13970	0.56
12.440	47.36300	0.48
12.500	47.69800	0.64
12.600	48.25620	0.64
12.700	48.81440	0.67
12.800	49.37270	0.71
12.900	49.93090	0.52
13.000	50.61310	0.31
13.100	51.41920	0.43
13.200	52.22540	0.44
13.300	53.03150	0.45
13.400	53.83770	0.57
13.520	54.80510	0.33
13.600	55.45000	0.29
13.700	56.03910	-0.23
14.600	63.76330	0.06
14.700	64.89070	0.04
15.050	68.83670	0.04
15.075	69.11850	-0.09
15.100	69.40040	-0.14
15.125	69.68220	-0.01
15.140	69.85130	0.04
15.175	70.24590	0.66
15.240	70.97870	0.00
15.275	71.37330	0.03
15.300	71.65520	0.09
15.325	71.93700	0.08
15.340	72.10610	0.13
15.375	72.50070	0.10
15.400	72.78260	-0.09
15.500	73.91000	0.38
15.600	74.39540	0.26
15.625	74.51680	0.63
15.700	74.88090	0.01
15.750	75.12360	0.74
15.785	75.29350	0.67
15.800	75.36640	0.48
15.825	75.48770	0.76
15.850	75.60910	0.90
15.885	75.77900	0.75
15.900	75.85180	0.85
15.925	75.97320	0.87
15.950	76.09450	0.88
16.000	76.33730	0.69
16.025	76.45860	0.46
16.100	76.82270	0.66
16.125	76.94410	0.70
16.150	77.06540	0.79
16.200	77.30820	0.56
16.225	77.42960	0.47
16.250	77.55090	0.81
16.275	77.67230	0.87
16.300	77.79360	0.77
16.400	78.27910	0.55
16.500	78.76450	0.81
16.600	79.25000	0.64
16.700	81.59000	0.48
17.000	88.61000	0.75
17.100	90.95000	0.66
17.200	92.63600	0.73
17.300	94.32200	0.76
17.400	96.00800	0.84
17.500	97.69400	0.51
17.600	99.38000	0.83
17.700	100.64800	0.56
17.800	101.91600	0.59
18.020	104.70500	0.58
18.100	105.71900	0.57
18.200	106.98700	0.43
18.400	109.52200	0.49
18.500	110.79000	0.58
18.600	113.39600	0.52
18.700	116.00200	0.64
18.800	118.60800	0.87
18.900	121.21400	0.74
19.000	123.82000	0.55
19.050	124.25000	/-151.13
19.100	124.68000	0.68
19.150	125.11000	0.58
19.200	125.54000	0.69
19.250	125.97000	0.59
19.350	126.83000	-0.21
19.375	127.04500	-0.20
19.400	127.26000	0.36
19.700	129.84000	-0.20
19.900	131.59300	-0.02
20.000	132.47000	-0.02
20.100	133.34700	-0.19
20.200	134.22300	-0.08
20.300	135.10000	-0.19
20.500	135.81800	-0.33
20.600	136.17700	-0.47
20.700	136.53600	-0.37
20.800	136.89500	-0.44
20.900	137.25400	-0.56
21.020	137.68500	-0.22
21.100	137.97200	-0.31
21.200	138.33100	-0.28
21.300	138.69000	-0.15
21.400	139.04900	-0.39
21.500	139.40800	-0.26
21.600	139.76700	-0.23
21.700	140.12600	-0.20
21.800	140.48500	-0.16
21.900	140.84400	-0.43
22.000	141.20300	-0.51
