EXPEDITION,EXP_NUM,SITE,HOLE,GEOB_NR,SHIPSITE,AREA,GEAR,LATITUDE_DEC,LONGITUDE_DEC,DATE,TIME,WATER_DEPTH,RECOVERY,REMARKS
M6-6,10,1016,3,GeoB1016-3,M6/6_182-3,Profil B,GC,-11.77,11.68166667,02/25/1988,11:23:00,3411,1241,"CC: Ton, gr・grau"
M6-6,10,1016,4,GeoB1016-4,M6/6_182-4,Profil B,HN,-11.75333333,11.69666667,02/25/1988,08:33:00,3410,,"50m, Plankton"
M6-6,10,1016,5,GeoB1016-5,M6/6_182-5,Profil B,HN,-11.75333333,11.69666667,02/25/1988,08:33:00,3410,,"50m, Plankton"
M6-6,10,1016,6,GeoB1016-6,M6/6_182-6,Profil B,HN,-11.75333333,11.69666667,02/25/1988,08:33:00,3410,,"50m, Plankton"
M6-6,10,1017,1,GeoB1017-1,M6/6_183-1,Profil B,MPS,-11.74,10.54333333,02/25/1988,17:57:00,3810,,"300m, 150m, 100m, 50m, 25m, Plankton"
M6-6,10,1017,2,GeoB1017-2,M6/6_183-2,Profil B,GC,-11.73666667,10.54666667,02/25/1988,19:13:00,3810,974,"CC: Ton, gr・grau"
M6-6,10,1017,3,GeoB1017-3,M6/6_183-3,Profil B,GBC,-11.74,10.55,02/25/1988,21:33:00,3809,102,"Karbonatschlamm, grau, Forams"
M6-6,10,1017,4,GeoB1017-4,M6/6_183-4,Profil B,HN,-11.73666667,10.54666667,02/25/1988,18:35:00,3811,,"50m, Plankton"
M6-6,10,1017,5,GeoB1017-5,M6/6_183-5,Profil B,HN,-11.73666667,10.54666667,02/25/1988,18:35:00,3811,,"50m, Plankton"
M6-6,10,1017,6,GeoB1017-6,M6/6_183-6,Profil B,HN,-11.73666667,10.54666667,02/25/1988,18:35:00,3811,,"50m, Plankton"
M6-6,10,1018,1,GeoB1018-1,M6/6_184-1,Profil B,MPS,-11.72166667,8.878333333,02/26/1988,07:37:00,4533,,"300m, 150m, 100m, 50m, 25m, Plankton"
M6-6,10,1018,2,GeoB1018-2,M6/6_184-2,Profil B,MUC,-11.725,8.878333333,02/26/1988,10:12:00,4530,,12 Kerne
M6-6,10,1018,3,GeoB1018-3,M6/6_184-3,Profil B,GC,-11.72833333,8.886666667,02/26/1988,12:56:00,4529,,"CC: Ton, graublau, Forams"
M6-6,10,1018,4,GeoB1018-4,M6/6_184-4,Profil B,GC,-11.72333333,8.896666667,02/26/1988,15:06:00,4529,658,"CC: Ton, blaugrau"
M6-6,10,1018,5,GeoB1018-5,M6/6_184-5,Profil B,GC,-11.72333333,8.906666667,02/26/1988,17:37:00,4528,730,"CC: Ton, gr・grau, Forams"
M6-6,10,1018,6,GeoB1018-6,M6/6_184-6,Profil B,HN,-11.725,8.875,02/26/1988,08:37:00,4533,,"50m, Plankton"
M6-6,10,1018,7,GeoB1018-7,M6/6_184-7,Profil B,HN,-11.725,8.875,02/26/1988,08:37:00,4533,,"50m, Plankton"
M6-6,10,1018,8,GeoB1018-8,M6/6_184-8,Profil B,HN,-11.725,8.875,02/26/1988,08:37:00,4533,,"50m, Plankton"
M6-6,10,1019,1,GeoB1019-1,M6/6_185-1,Profil C,DRG,-17.17166667,11.64666667,02/28/1988,11:11:00,77,,Oberfl臘he
M6-6,10,1019,2,GeoB1019-2,M6/6_185-2,Profil C,GBC,-17.175,11.64666667,02/28/1988,11:40:00,75,135,"Tonschlick, olivegr・, Schill"
M6-6,10,1019,3,GeoB1019-3,M6/6_185-3,Profil C,GBC,-17.17666667,11.64666667,02/28/1988,12:00:00,75,101,"Tonschlick, olivegr・, Schill"
M6-6,10,1019,4,GeoB1019-4,M6/6_185-4,Profil C,HN,-17.175,11.64666667,02/28/1988,11:43:00,75,,"50m, Plankton"
M6-6,10,1019,5,GeoB1019-5,M6/6_185-5,Profil C,HN,-17.175,11.64666667,02/28/1988,11:43:00,75,,"50m, Plankton"
M6-6,10,1020,1,GeoB1020-1,M6/6_186-1,Profil C,GBC,-17.16833333,11.54833333,02/28/1988,12:48:00,110,124,"Tonschlick, Phosphorit, Schill"
M6-6,10,1020,2,GeoB1020-2,M6/6_186-2,Profil C,GBC,-17.16666667,11.54666667,02/28/1988,13:06:00,110,,ausgesp・t!
M6-6,10,1020,3,GeoB1020-3,M6/6_186-3,Profil C,DRG,-17.16833333,11.54833333,02/28/1988,13:25:00,111,,"Oberfl臘he, Phosphorit (50 Kg), Benthos"
M6-6,10,1020,4,GeoB1020-4,M6/6_186-4,Profil C,HN,-17.16833333,11.54833333,02/28/1988,12:52:00,110,,"50m, Plankton"
M6-6,10,1020,5,GeoB1020-5,M6/6_186-5,Profil C,HN,-17.16833333,11.54833333,02/28/1988,12:52:00,110,,"50m, Plankton"
M6-6,10,1021,1,GeoB1021-1,M6/6_187-1,Profil C,MPS,-17.17333333,11.39833333,02/28/1988,15:22:00,180.5,,"150m, 100m, 75m, 50m, 25m, viel Plankton!"
M6-6,10,1021,2,GeoB1021-2,M6/6_187-2,Profil C,GBC,-17.17666667,11.4,02/28/1988,15:41:00,178,,"Tonschlick, olive, Bivalven"
M6-6,10,1021,3,GeoB1021-3,M6/6_187-3,Profil C,GBC,-17.17666667,11.40333333,02/28/1988,16:06:00,173,69,"Tonschlick, olivegr・ sandig"
M6-6,10,1021,4,GeoB1021-4,M6/6_187-4,Profil C,HN,-17.17666667,11.4,02/28/1988,15:37:00,178,,"50m, Plankton"
M6-6,10,1021,5,GeoB1021-5,M6/6_187-5,Profil C,HN,-17.17666667,11.4,02/28/1988,15:37:00,178,,"50m, Plankton"
M6-6,10,1022,1,GeoB1022-1,M6/6_188-1,Profil C,MPS,-17.17333333,11.285,02/28/1988,16:58:00,587,,"300m, 150m, 100m, 50m, 25m, Plankton"
M6-6,10,1022,2,GeoB1022-2,M6/6_188-2,Profil C,GBC,-17.17333333,11.29833333,02/28/1988,17:35:00,551,58,"Tonschlamm, sandig, Glaukonit"
M6-6,10,1022,3,GeoB1022-3,M6/6_188-3,Profil C,GBC,-17.175,11.3,02/28/1988,18:17:00,531,43,"Phosphoritsand, Forams"
M6-6,10,1022,4,GeoB1022-4,M6/6_188-4,Profil C,HN,-17.175,11.29833333,02/28/1988,17:23:00,550,,"50m, Plankton"
M6-6,10,1022,5,GeoB1022-5,M6/6_188-5,Profil C,HN,-17.175,11.29833333,02/28/1988,17:23:00,550,,"50m, Plankton"
M6-6,10,1023,1,GeoB1023-1,M6/6_189-1,Profil C,MPS,-17.16833333,11.00666667,02/28/1988,20:17:00,2019,,"300m, 150m, 100m, 50m, 25m, Plankton"
M6-6,10,1023,2,GeoB1023-2,M6/6_189-2,Profil C,GBC,-17.16166667,11.01,02/28/1988,21:23:00,1965,135,"Schlick, olivegr・"
M6-6,10,1023,3,GeoB1023-3,M6/6_189-3,Profil C,MUC,-17.17,11.02666667,02/28/1988,23:05:00,1855,,"12x29 cm, Tonschlamm, olivegr・"
M6-6,10,1023,4,GeoB1023-4,M6/6_189-4,Profil C,GC,-17.16,10.99833333,02/29/1988,01:06:00,2047,,"CC: Ton, olivegr・, Schill"
M6-6,10,1023,5,GeoB1023-5,M6/6_189-5,Profil C,GC,-17.15666667,11.01166667,02/29/1988,02:17:00,1978,943,"CC: Ton, olivegr・, Schill"
M6-6,10,1023,6,GeoB1023-6,M6/6_189-6,Profil C,HN,-17.16166667,11.00833333,02/28/1988,20:48:00,1980,,"50m, Plankton"
M6-6,10,1023,7,GeoB1023-7,M6/6_189-7,Profil C,HN,-17.16166667,11.00833333,02/28/1988,20:48:00,1980,,"50m, Plankton"
M6-6,10,1024,1,GeoB1024-1,M6/6_190-1,Profil C,MPS,-17.16,10.725,02/29/1988,04:28:00,2771,,"300m, 150m, 100m, 50m, 25m, Plankton"
M6-6,10,1024,2,GeoB1024-2,M6/6_190-2,Profil C,GC,-17.16333333,10.69666667,02/29/1988,05:46:00,2799,1693,"CC: Ton, olivegr・, H2S"
M6-6,10,1024,3,GeoB1024-3,M6/6_190-3,Profil C,GBC,-17.16166667,10.68166667,02/29/1988,07:37:00,2802,98,"Ton, olivegrau, Schill"
M6-6,10,1024,4,GeoB1024-4,M6/6_190-4,Profil C,HN,-17.16166667,10.69833333,02/29/1988,05:28:00,2785,,"50m, Plankton"
M6-6,10,1024,5,GeoB1024-5,M6/6_190-5,Profil C,HN,-17.16166667,10.69833333,02/29/1988,05:28:00,2785,,"50m, Plankton"
M6-6,10,1025,1,GeoB1025-1,M6/6_191-1,Profil C,MPS,-17.145,10.24833333,02/29/1988,10:23:00,3565,,"300m, 150m, 100m, 50m, 25m, Plankton"
M6-6,10,1025,2,GeoB1025-2,M6/6_191-2,Profil C,GBC,-17.165,10.24166667,02/29/1988,11:50:00,3565,115,"Ton, olivegr・, Forams"
M6-6,10,1025,3,GeoB1025-3,M6/6_191-3,Profil C,GC,-17.17,10.245,02/29/1988,13:46:00,3534,323,"CC: Ton, olivegr・, siltig"
M6-6,10,1025,4,GeoB1025-4,M6/6_191-4,Profil C,HN,-17.15666667,10.23833333,02/29/1988,10:59:00,3550,,"50m, Plankton"
M6-6,10,1025,5,GeoB1025-5,M6/6_191-5,Profil C,HN,-17.15666667,10.23833333,02/29/1988,10:59:00,3550,,"50m, Plankton"
M6-6,10,1026,1,GeoB1026-1,M6/6_192-1,Profil C,MPS,-17.15,8.89,02/29/1988,21:24:00,4617,,"300m, 150m, 100m, 50m, 25m, Plankton"
M6-6,10,1026,2,GeoB1026-2,M6/6_192-2,Profil C,GC,-17.15,8.896666667,02/29/1988,23:01:00,4616,1639,"Ton, olivegrau, Forams"
M6-6,10,1026,3,GeoB1026-3,M6/6_192-3,Profil C,GBC,-17.17,8.906666667,03/01/1988,01:28:00,4601,90,"Karbonatschlick, hell-gr・grau"
M6-6,10,1026,4,GeoB1026-4,M6/6_192-4,Profil C,CTD+RO,-17.13166667,8.898333333,03/01/1988,04:30:00,4606,,"6x270L, bis 3500 m Wassertiefe"
M6-6,10,1026,5,GeoB1026-5,M6/6_192-5,Profil C,HN,-17.15,8.893333333,02/29/1988,22:13:00,4616,,"50m, Plankton"
M6-6,10,1026,6,GeoB1026-6,M6/6_192-6,Profil C,HN,-17.15,8.893333333,02/29/1988,22:13:00,4616,,"50m, Plankton"
M6-6,10,1027,1,GeoB1027-1,M6/6_193-1,Walfisch-R・ken,GBC,-19.655,9.138333333,03/01/1988,20:19:00,2668,,"abgebrochen, kein Bodenecho im Parasound!"
M6-6,10,1027,2,GeoB1027-2,M6/6_193-2,Walfisch-R・ken,GBC,-19.655,9.138333333,03/01/1988,21:50:00,2668,59,"Karbonatschlick, sandig, Forams"
M6-6,10,1027,3,GeoB1027-3,M6/6_193-3,Walfisch-R・ken,GC,-19.66,9.14,03/01/1988,23:24:00,2669,1036,CC: heller Foraminiferen-Schlamm
M6-6,10,1027,4,GeoB1027-4,M6/6_193-4,Walfisch-R・ken,HN,-19.66,9.14,03/01/1988,20:22:00,2668,,"50m, Plankton"
M6-6,10,1028,1,GeoB1028-1,M6/6_194-1,Walfisch-R・ken,MPS,-20.13,9.191666667,03/02/1988,03:40:00,2206,,"300m, 150m, 100m, 50m, 25m, Plankton"
M6-6,10,1028,2,GeoB1028-2,M6/6_194-2,Walfisch-R・ken,MUC,-20.09,9.17,03/02/1988,07:58:00,2213,,"12x16cm, Foram-Schlamm, hellbeige"
M6-6,10,1028,3,GeoB1028-3,M6/6_194-3,Walfisch-R・ken,MPS,-20.10333333,9.188333333,03/02/1988,05:10:00,2213,,"300m, 150m, 100m, 50m, 25m, Plankton"
M6-6,10,1028,4,GeoB1028-4,M6/6_194-4,Walfisch-R・ken,GBC,-20.1,9.178333333,03/02/1988,06:15:00,2215,103,"Karbonatsand, Forams"
M6-6,10,1028,5,GeoB1028-5,M6/6_194-5,Walfisch-R・ken,GC,-20.10333333,9.185,03/02/1988,04:38:00,2209,1076,"Karbonatschlamm, sandig, Forams"
M6-6,10,1028,6,GeoB1028-6,M6/6_194-6,Walfisch-R・ken,MOORING,-20.07166667,9.168333333,03/02/1988,10:20:00,2218,,Jahresverankerung WR1 ausgelegt; 1700 m
M6-6,10,1028,7,GeoB1028-7,M6/6_194-7,Walfisch-R・ken,HN,-20.09833333,9.195,03/02/1988,04:28:00,2214,,"50m, Plankton"
M6-6,10,1028,8,GeoB1028-8,M6/6_194-8,Walfisch-R・ken,HN,-20.09833333,9.195,03/02/1988,04:28:00,2214,,"50m, Plankton"
M6-6,10,1029,1,GeoB1029-1,M6/6_195-1,Walfisch-R・ken,GBC,-21.06333333,8.228333333,03/02/1988,20:54:00,3420,77,"Foram.-Sand, weiﾟ"
M6-6,10,1029,2,GeoB1029-2,M6/6_195-2,Walfisch-R・ken,MPS,-21.065,8.23,03/02/1988,21:31:00,3414,,"300m, 150m, 100m, 50m, 25m, Plankton"
M6-6,10,1029,3,GeoB1029-3,M6/6_195-3,Walfisch-R・ken,GC,-21.065,8.231666667,03/02/1988,22:50:00,3424,1095,"Foram.-sand, weiﾟ"
M6-6,10,1029,4,GeoB1029-4,M6/6_195-4,Walfisch-R・ken,HN,-21.06166667,8.231666667,03/02/1988,22:14:00,3422,,"50m, Plankton"
M6-6,10,1029,5,GeoB1029-5,M6/6_195-5,Walfisch-R・ken,HN,-21.06166667,8.231666667,03/02/1988,22:14:00,3422,,"50m, Plankton"
M6-6,10,1030,1,GeoB1030-1,M6/6_196-1,Walfisch-R・ken,GC,-21.09,7.778333333,03/03/1988,03:06:00,1317,,Liner leer!
M6-6,10,1030,2,GeoB1030-2,M6/6_196-2,Walfisch-R・ken,MPS,-21.08333333,7.775,03/03/1988,03:47:00,1324,,"300m, 150m, 100m, 50m, 25m, Plankton"
M6-6,10,1030,3,GeoB1030-3,M6/6_196-3,Walfisch-R・ken,GBC,-21.07666667,7.778333333,03/03/1988,04:38:00,1326,86,"Foram.-sand, weiﾟ"
M6-6,10,1030,4,GeoB1030-4,M6/6_196-4,Walfisch-R・ken,HN,-21.08,7.776666667,03/03/1988,04:16:00,1326,,"50m, Plankton"
M6-6,10,1030,5,GeoB1030-5,M6/6_196-5,Walfisch-R・ken,HN,-21.08,7.776666667,03/03/1988,04:16:00,1326,,"50m, Plankton"
M6-6,10,1031,1,GeoB1031-1,M6/6_197-1,Walfisch-R・ken,GBC,-21.89,7.101666667,03/03/1988,11:15:00,3103,57,"Foram.-sand, weiﾟ"
M6-6,10,1031,2,GeoB1031-2,M6/6_197-2,Walfisch-R・ken,MPS,-21.88666667,7.101666667,03/03/1988,12:11:00,3103,,"300m, 150m, 100m, 50m, 25m, Plankton"
M6-6,10,1031,3,GeoB1031-3,M6/6_197-3,Walfisch-R・ken,GC,-21.88333333,7.103333333,03/03/1988,13:21:00,3103,,"CC: Foram.-sand, weiﾟ"
M6-6,10,1031,4,GeoB1031-4,M6/6_197-4,Walfisch-R・ken,GC,-21.88,7.101666667,03/03/1988,14:49:00,3105,1078,"CC: Foram.-schlick, sandig"
M6-6,10,1031,5,GeoB1031-5,M6/6_197-5,Walfisch-R・ken,HN,-21.89166667,7.103333333,03/03/1988,10:38:00,3102,,"50m, Plankton"
M6-6,10,1031,6,GeoB1031-6,M6/6_197-6,Walfisch-R・ken,HN,-21.89166667,7.103333333,03/03/1988,10:38:00,3102,,"50m, Plankton"
M6-6,10,1031,7,GeoB1031-7,M6/6_197-7,Walfisch-R・ken,MUC,-21.87333333,7.083333333,03/03/1988,16:49:00,3101,,"2x7cm, Foram.-sand, weiﾟ"
M6-6,10,1032,1,GeoB1032-1,M6/6_198-1,Profil D,MPS,-22.91833333,6.023333333,03/04/1988,01:14:00,2498,,"300m, 150m, 100m, 50m, 25m, Plankton"
