/* DATA DESCRIPTION:
Citation:	Voelker, Antje H L; de Abreu, Lucia (2011): Combined stable oxygen and carbon isotope ratios of benthic foraminifera of sediment core MD95-2040. PANGAEA, https://doi.org/10.1594/PANGAEA.737135, 
	In supplement to: Voelker, AHL; de Abreu, L (2011): A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal and Vertical Gradients. In: Rashid, H; Polyak, L; Mosley-Thompson, E (eds.), Abrupt Climate Change: Mechanisms, Patterns, and Impacts. Geophysical Monograph Series (AGU, Washington D.C.), 193, 15-37, https://doi.org/10.1029/2010GM001021
Related to:	de Abreu, Lucia; Shackleton, Nicholas J; Schönfeld, Joachim; Hall, Michael A; Chapman, Mark R (2003): Millenial-scale oceanic climate variability off the Western Iberian margin during the last two glacial periods. Marine Geology, 196(1-2), 1-20, https://doi.org/10.1016/S0025-3227(03)00046-X
	Schönfeld, Joachim; Zahn, Rainer; de Abreu, Lucia (2003): Surface to deep water response to rapid climate changes at the western Iberian Margin. Global and Planetary Change, 36(4), 237-264, https://doi.org/10.1016/S0921-8181(02)00197-2
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: 40.581833 * LONGITUDE: -9.861167
	DATE/TIME START: 1995-07-07T00:00:00 * DATE/TIME END: 1995-07-07T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.02 m * MAXIMUM DEPTH, sediment/rock: 35.21 m
Event(s):	MD95-2040 (MD952040) * LATITUDE: 40.581833 * LONGITUDE: -9.861167 * DATE/TIME: 1995-07-07T00:00:00 * ELEVATION: -2465.0 m * Recovery: 35 m * LOCATION: Porto Seamount * CAMPAIGN: MD101 (IMAGES I) (URI: hdl:10013/epic.37487.d001) * BASIS: Marion Dufresne (1995) (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXIV Sections, core bent; section IIb jamed in the bent part of the core, recuperated in 1/2 liner
Comment:	The records combine data from Schoenfeld et al. (2003), de Abreu et al. (2003) and this study (http://doi.pangaea.de/10.1594/PANGAEA.733112), means are given for multiple values.
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Foraminifera, benthic δ18O [‰ PDB] (Foram bent δ18O) * PI: Voelker, Antje H L (https://orcid.org/0000-0001-6465-6023, antje.voelker@ipma.pt) * METHOD/DEVICE: Isotope ratio mass spectrometry (URI: https://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: C. wuellerstorfi and Cibicidoides sp. are adjusted to U. peregrina level by adding 0.64 per mil.
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Voelker, Antje H L (https://orcid.org/0000-0001-6465-6023, antje.voelker@ipma.pt) * METHOD/DEVICE: Isotope ratio mass spectrometry (URI: https://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	1569 data points
*/
Depth [m]	Age [ka BP]	Foram bent δ18O [‰ PDB]	C. wuellerstorfi δ13C [‰ PDB]
2.81	16.950	5.03	0.12
2.87	17.190	4.88	0.23
2.89	17.269	4.78	-0.05
2.90	17.309	5.11	0.17
2.93	17.429	5.17	-0.04
2.94	17.455	5.23	
2.96	17.507	5.18	0.41
2.99	17.585	5.07	0.39
3.00	17.611	5.34	
3.02	17.663	5.13	0.46
3.06	17.783	5.29	0.59
3.08	17.866	5.19	0.59
3.11	17.991	5.30	0.09
3.12	18.032	5.16	0.66
3.17	18.241	5.14	0.40
3.18	18.282	5.14	0.53
3.20	18.366	5.34	0.63
3.24	18.532	5.29	0.60
3.26	18.615	5.15	0.46
3.30	18.782	5.17	0.47
3.32	18.865	5.21	0.51
3.36	19.032	5.19	0.52
3.38	19.115	5.26	0.28
3.47	19.417	5.15	0.46
3.62	19.858	5.03	0.59
3.77	20.300	5.22	0.06
3.86	20.567	5.15	0.42
3.92	20.746	4.75	0.26
3.98	20.924	5.01	0.64
4.04	21.102	4.67	0.50
4.07	21.191	5.26	0.25
4.10	21.281	5.05	0.85
4.13	21.370	5.23	0.13
4.16	21.459	4.95	0.30
4.19	21.548	5.09	0.29
4.22	21.637	5.14	0.19
4.25	21.726	4.91	0.71
4.28	21.815	4.45	0.41
4.31	21.905	4.07	0.96
4.37	22.083	5.00	0.41
4.40	22.172	4.92	0.26
4.43	22.261	4.33	1.39
4.46	22.350	4.35	1.46
4.49	22.439	4.98	0.61
4.52	22.529	5.14	0.13
4.55	22.618	3.53	1.07
4.67	22.974	4.90	0.54
4.70	23.063	4.36	1.55
4.73	23.153	4.75	0.72
4.76	23.242	4.44	0.49
4.79	23.331	4.78	0.68
4.85	23.479	4.57	-0.03
4.88	23.538	4.79	0.60
4.94	23.656	4.77	0.12
5.03	23.833	4.17	0.07
5.06	23.892	3.14	0.53
5.18	24.127	4.99	0.31
5.19	24.147	4.72	0.30
5.21	24.186	4.12	0.32
5.27	24.304	4.74	
5.30	24.363	4.88	0.34
5.33	24.444	3.44	0.97
5.36	24.525	4.89	0.43
5.39	24.607	4.60	0.09
5.45	24.769	4.73	-0.17
5.48	24.850	3.01	0.88
5.51	24.932	4.37	0.17
5.54	25.013	4.74	0.31
5.57	25.094	3.26	0.05
5.60	25.175	3.96	0.12
5.63	25.256	4.05	1.06
5.66	25.338	3.96	0.54
5.69	25.419	4.70	0.02
5.72	25.500	4.43	0.27
5.75	25.700	4.96	-0.02
5.78	25.744	4.74	0.00
5.81	25.787	4.83	0.52
5.84	25.831	4.73	0.13
5.90	25.918	4.76	0.29
5.93	25.962	5.00	0.08
5.96	26.005	4.89	0.32
6.02	26.093	4.80	0.16
6.05	26.136	5.11	0.18
6.08	26.180	5.09	0.09
6.11	26.397	5.04	0.06
6.15	26.686	4.98	0.28
6.17	26.831	5.10	0.10
6.20	27.048	4.95	0.33
6.26	27.482	5.20	0.16
6.27	27.554	3.34	0.23
6.29	27.698	4.84	0.09
6.35	28.132	5.00	0.22
6.38	28.349	4.77	0.46
6.41	28.566	4.75	0.53
6.47	29.000	4.98	0.05
6.50	29.045	4.76	0.47
6.56	29.136	2.66	0.85
6.59	29.181	4.43	0.18
6.65	29.271	3.59	1.05
6.71	29.361	3.91	0.67
6.74	29.407	4.47	0.28
6.77	29.452	4.17	0.72
6.83	29.542	4.32	0.33
6.86	29.587	4.29	0.65
6.89	29.633	3.64	0.97
6.95	29.723	3.59	0.59
7.01	29.813	4.41	-0.06
7.07	29.904	2.99	0.81
7.13	29.994	4.72	0.54
7.16	30.039	4.66	0.59
7.19	30.084	4.39	0.16
7.25	30.175	4.20	0.52
7.31	30.390	4.74	0.53
7.34	30.559	4.66	0.50
7.40	30.898	4.62	0.56
7.46	31.237	4.70	0.48
7.48	31.350	4.52	0.32
7.58	32.547	4.51	0.55
7.60	32.840	4.77	0.81
7.70	33.973	4.80	0.40
7.75	34.290	4.74	0.36
7.78	34.480	4.75	0.49
7.82	34.582	4.38	0.83
7.85	34.658	4.87	0.06
7.88	34.734	4.88	0.27
7.91	34.810	4.79	0.32
7.94	34.887	4.71	0.42
8.00	35.039	4.85	0.20
8.03	35.115	4.61	0.56
8.06	35.191	4.65	0.60
8.18	35.730	3.32	0.04
8.21	35.960	4.47	0.66
8.30	36.650	4.55	0.61
8.34	36.929	4.62	0.63
8.36	37.026	4.76	0.76
8.38	37.124	4.61	0.67
8.42	37.319	4.39	0.52
8.44	37.416	4.51	0.49
8.48	37.612	4.31	0.60
8.50	37.709	4.37	0.74
8.51	37.758	4.28	0.61
8.52	37.807	4.17	0.35
8.54	37.904	4.70	-0.39
8.57	38.051	4.27	0.33
8.58	38.100	4.27	0.33
8.60	38.197	4.14	0.31
8.62	38.295	4.34	0.49
8.64	38.392	3.49	0.88
8.66	38.490	4.36	0.33
8.67	38.549	4.36	0.33
8.68	38.609	4.35	0.55
8.69	38.668	4.15	0.16
8.70	38.727	4.15	0.16
8.75	39.024	3.08	0.91
8.76	39.083	4.23	0.06
8.80	39.320	4.50	0.19
8.82	39.424	4.09	0.02
8.84	39.513	4.59	0.59
8.86	39.603	4.67	0.51
8.90	39.782	4.38	0.69
8.93	39.916	4.57	0.61
8.94	39.961	4.57	0.61
8.96	40.050	4.34	0.31
8.98	40.140	4.75	0.57
9.00	40.234	4.64	0.65
9.02	40.327	4.59	0.50
9.05	40.467	4.72	0.52
9.06	40.514	4.79	0.55
9.10	40.700	4.62	0.41
9.11	40.747	3.65	0.48
9.12	40.794	4.65	0.49
9.17	41.027	4.43	0.66
9.20	41.167	4.61	0.48
9.24	41.353	4.79	
9.25	41.400	4.63	0.07
9.26	41.447	4.58	
9.28	41.540	4.80	0.58
9.32	41.733	4.43	0.54
9.38	42.022	4.89	
9.41	42.166	4.47	0.25
9.50	42.600	4.84	
9.62	43.032	4.79	0.55
9.65	43.140	4.71	0.18
9.75	43.927	4.52	0.63
9.80	44.320	4.15	0.86
9.86	44.792	4.61	0.75
9.95	45.500	3.96	0.43
9.98	45.830	4.08	0.26
10.31	47.282	4.69	0.15
10.58	50.369	4.35	0.83
10.70	51.573	4.53	0.70
10.73	51.856	3.64	0.77
10.83	53.096	4.33	0.24
10.88	53.940	4.44	0.30
10.94	54.953	4.63	0.28
11.03	55.883	4.41	0.58
11.06	56.094	4.48	0.60
11.15	56.729	4.41	0.48
11.18	56.940	4.25	0.44
11.21	57.400	4.50	0.40
11.24	57.860	4.28	0.22
11.27	58.320	4.14	0.27
11.36	58.992	4.02	-0.54
11.45	59.610	4.68	
11.60	60.458	5.16	0.10
11.75	61.236	3.74	1.23
11.78	61.388	4.76	0.14
11.81	61.540	4.79	0.22
11.90	61.996	4.59	0.31
12.02	62.725	4.72	-0.05
12.08	63.150	4.55	0.17
12.11	63.363	4.80	
12.14	63.575	4.74	0.28
12.17	63.788	4.78	0.24
12.21	64.098	4.95	0.15
12.23	64.295	4.66	0.22
12.26	64.591	4.76	0.29
12.29	64.886	4.61	0.12
12.32	65.182	4.66	0.29
12.35	65.477	4.35	0.41
12.38	65.773	4.59	0.42
12.41	66.068	4.83	0.40
12.44	66.364	4.64	0.47
12.47	66.659	4.46	0.35
12.50	66.955	4.52	0.47
12.53	67.250	4.52	0.69
12.56	68.100	4.51	0.70
12.62	69.800	4.44	0.87
12.65	70.442	4.38	0.78
12.68	71.084	4.32	0.66
12.71	71.725	4.23	0.80
12.74	72.367	4.36	0.85
12.80	73.650	4.05	0.80
12.83	74.243	4.18	0.70
12.86	74.835	4.25	0.88
12.89	75.428	4.05	0.84
12.98	77.205	4.10	0.95
13.19	81.353	3.77	1.02
13.34	83.780	3.84	0.59
13.55	87.508	4.37	0.82
13.70	90.486	4.02	1.04
13.85	93.463	3.10	0.88
13.97	95.846	3.85	
14.09	98.228	3.83	
14.21	100.610	3.89	0.91
14.33	102.992	4.01	0.47
14.45	104.967	3.98	0.71
14.66	108.352	4.18	0.63
14.81	111.487	4.18	0.96
14.96	114.621	3.67	0.98
15.02	116.237	3.67	
15.05	117.226	3.33	0.86
15.11	119.204	4.08	0.30
15.14	120.193	3.91	0.76
15.17	121.182	3.93	0.64
15.20	122.171	3.46	
15.23	123.160	4.40	0.33
15.26	124.148	3.03	0.79
15.29	125.137	3.22	
15.32	126.126	3.17	0.63
15.35	127.115	3.10	
15.41	129.093	2.98	0.55
15.50	131.613		0.86
15.53	132.156	4.90	-0.32
15.56	132.698	4.33	0.14
15.71	135.350	5.19	-0.13
15.74	135.833	5.37	-0.16
15.80	136.798	5.34	-0.24
15.83	137.217	5.32	-0.11
15.86	137.636	5.08	
15.89	138.055	5.05	-0.35
15.92	138.474	5.25	-0.17
15.95	138.893	5.29	-0.06
15.98	139.312	5.37	-0.16
16.10	140.988	5.25	-0.09
16.25	142.313	4.73	0.16
16.28	142.579	4.11	0.35
16.31	142.844	4.26	
16.40	143.639	5.04	-0.11
16.46	144.176	5.32	-0.21
16.49	144.447	5.13	
16.52	144.719	5.24	
16.55	144.991	4.98	0.16
16.58	145.262	5.06	-0.07
16.61	145.534	4.46	-0.09
16.64	145.806	4.84	-0.20
16.67	146.078	5.06	-0.06
16.70	146.349	5.00	-0.05
16.73	146.621	5.09	
16.76	146.893	4.78	
16.82	147.436	5.00	
16.85	147.708	4.77	0.00
16.94	148.523	4.98	0.00
16.97	148.794	5.00	
17.00	149.066	3.79	0.84
17.03	149.338	4.74	0.09
17.15	150.425	4.47	0.24
17.30	151.783	4.75	0.31
17.33	152.318	5.01	-0.06
17.36	152.853	4.58	
17.42	153.923	4.62	0.01
17.57	156.599	4.74	0.35
17.72	158.900	4.49	-0.14
17.87	159.704	4.61	-0.17
18.08	160.829	4.74	-0.41
18.23	161.633	4.12	0.39
18.29	162.076	4.58	
18.35	162.518	4.44	
18.38	162.740	4.23	0.56
18.44	163.182	4.79	
18.53	163.846	4.94	-0.26
18.59	164.289	5.11	
18.62	164.510	4.80	
18.68	164.953	5.01	-0.19
18.71	165.174	5.10	
18.74	165.396	5.09	
18.77	165.617	5.04	
18.80	165.838	4.94	
18.83	166.060	4.85	-0.16
18.86	166.281	4.99	
18.89	166.502	5.06	
18.92	166.724	5.05	
18.95	166.945	5.09	
18.98	167.166	4.57	0.28
19.01	167.388	5.03	
19.16	168.652	4.42	0.17
19.19	169.031	4.64	
19.22	169.410	4.68	
19.28	170.167	4.93	
19.31	170.546	5.55	-0.91
19.37	171.304	5.03	
19.43	172.062	4.38	
19.46	172.441	4.79	-0.12
19.48	172.542	4.57	
19.61	173.205	4.90	-0.04
19.64	173.358	4.93	
19.67	173.511	4.94	
19.70	173.664	4.91	
19.73	173.817	4.95	
19.76	173.970	4.80	-0.01
19.79	174.122	4.27	
19.82	174.275	4.85	
19.97	175.040	4.27	0.33
20.00	175.193	4.45	
20.06	175.499	4.47	
20.09	175.651	4.66	
20.12	175.804	4.54	-0.10
20.15	175.957	4.21	
20.18	176.110	4.13	
20.21	176.263	4.58	
20.24	176.732	3.88	
20.27	177.200	4.24	0.06
20.39	179.075	4.47	
20.42	179.544	4.60	-0.09
20.48	180.481	4.83	
20.66	183.294	3.79	0.90
20.81	185.637	4.71	0.15
20.84	186.106	4.72	
20.90	187.043	4.83	
20.98	188.072	4.92	0.21
21.08	189.357	4.69	
21.17	190.514	4.34	
21.23	191.285	4.12	0.61
21.26	191.671	4.58	
21.38	193.450	3.84	0.24
21.44	194.457	4.13	
21.47	194.961	4.13	
21.56	196.473	4.46	
21.59	196.977	3.97	
21.77	200.000	3.47	
21.80	201.000	3.52	
21.86	203.000	3.71	0.76
21.89	204.000	3.55	
21.92	205.000	4.63	0.13
22.01	206.324	3.64	0.30
22.10	207.647	3.85	0.78
22.13	208.088	3.56	0.82
22.16	208.529	3.84	0.88
22.19	208.971	3.90	0.87
22.22	209.412	3.73	0.82
22.28	210.294	3.64	0.70
22.31	210.735	3.71	0.80
22.34	211.176	3.62	0.82
22.37	211.618	3.60	0.90
22.40	212.059	3.57	0.85
22.43	212.500	3.53	0.76
22.46	212.941	3.54	0.68
22.49	213.382	3.29	0.78
22.55	214.265	3.54	0.72
22.58	214.706	3.50	0.48
22.64	215.588	3.71	0.83
22.67	216.029	3.72	0.74
22.70	216.471	3.66	
22.73	216.912	3.46	0.72
22.76	217.353	3.61	0.90
22.85	218.676	4.13	
22.88	219.118	4.06	
22.91	219.559	4.33	
22.94	220.000	3.90	0.18
22.97	220.250	4.06	0.38
23.00	220.500	4.35	-0.27
23.03	220.750	4.52	-0.17
23.06	221.000	4.49	-0.25
23.09	221.250	4.65	-0.17
23.12	221.500	4.66	-0.19
23.18	222.000	4.51	0.18
23.21	222.250	4.74	0.14
23.24	222.500	4.64	0.07
23.27	222.750	4.77	0.12
23.30	223.000	4.97	0.21
23.33	223.778	4.68	0.60
23.36	224.556	4.72	0.25
23.39	225.333	4.55	0.51
23.42	226.111	4.54	0.34
23.45	226.889	4.42	-0.13
23.51	228.444	4.31	0.26
23.54	229.222	4.28	0.07
23.57	230.000	4.68	0.48
23.63	230.909	4.39	-0.08
23.66	231.364	4.33	0.41
23.69	231.818	4.08	
23.72	232.273	4.32	0.29
23.75	232.727	4.29	0.70
23.78	233.182	4.26	0.26
23.81	233.636	4.07	0.45
23.84	234.091	3.86	0.53
23.87	234.545	3.52	0.84
23.90	235.000	3.46	0.74
23.93	235.455	3.59	0.82
23.96	235.909	3.81	0.76
23.98	236.212	3.69	0.69
24.03	236.970	3.60	0.78
24.05	237.273	3.49	0.78
24.08	237.727	3.44	
24.11	238.182	3.43	0.64
24.14	238.636	3.37	0.64
24.17	239.091	3.51	0.52
24.20	239.545	3.38	0.75
24.23	240.000	3.21	
24.26	240.308	3.29	0.25
24.29	240.615	3.69	
24.32	240.923	3.61	
24.35	241.231	3.64	
24.38	241.538	3.62	
24.41	241.846	4.35	
24.44	242.154	4.41	0.55
24.47	242.462	4.36	
24.50	242.769	3.32	
24.53	243.077	4.22	0.62
24.56	243.385	4.21	0.34
24.59	243.692	3.94	-0.01
24.65	244.308	3.96	0.06
24.68	244.615	3.96	
24.71	244.923	4.25	
24.74	245.231	3.89	-0.07
24.77	245.538	4.08	0.12
24.80	245.846	4.29	0.20
24.83	246.154	4.59	
24.86	246.462	4.32	0.15
24.89	246.769	4.63	
24.92	247.077	4.63	0.26
24.98	247.692	4.56	0.22
25.04	248.308	4.67	0.40
25.07	248.615	4.73	0.10
25.10	248.923	3.93	
25.13	249.231	4.72	0.26
25.16	249.538	4.75	0.38
25.19	249.846	4.10	
25.22	250.154	4.19	
25.25	250.462	4.17	
25.28	250.769	4.67	0.45
25.31	251.077	4.54	0.33
25.34	251.385	4.72	0.14
25.37	251.692	4.63	0.13
25.40	252.000	4.96	0.46
25.43	252.167	4.74	0.46
25.46	252.333	4.75	0.30
25.52	252.667	4.65	0.35
25.55	252.833	4.70	0.44
25.58	253.000	4.62	0.48
25.61	253.167	4.52	0.18
25.64	253.333	4.16	0.15
25.67	253.500	3.89	0.42
25.70	253.667	4.58	0.27
25.73	253.833	4.55	0.30
25.76	254.000	4.62	-0.04
25.79	254.167	4.66	0.16
25.82	254.333	4.64	0.28
25.85	254.500	4.64	0.10
25.88	254.667	4.50	-0.04
25.91	254.833	4.54	0.06
25.94	255.000	3.55	
25.97	255.667	4.52	-0.03
26.00	256.333	4.28	-0.11
26.03	257.000	4.97	0.40
26.06	257.256	4.79	0.34
26.09	257.512	4.76	0.26
26.12	257.767	4.83	0.26
26.15	258.023	4.89	0.30
26.18	258.279	4.84	0.26
26.21	258.535	4.70	0.13
26.24	258.791	4.58	0.04
26.27	259.047	4.69	0.22
26.33	259.558	4.73	-0.08
26.36	259.814	4.52	
26.45	260.581	4.71	
26.51	261.093	4.58	
26.54	261.349	4.58	
26.57	261.605	4.58	
26.60	261.860	4.68	
26.63	262.116	4.46	
26.72	262.884	4.71	
26.75	263.140	4.67	
26.87	264.163	3.96	
26.93	264.674	4.63	
27.08	265.953	4.68	
27.17	266.721	4.73	
27.20	266.977	4.98	
27.23	267.233	4.79	
27.29	267.744	5.13	-1.58
27.32	268.000	4.40	
27.44	268.878	4.85	-1.46
27.47	269.098	4.83	
27.53	269.537	4.75	-0.32
27.56	269.756	4.78	-0.36
27.59	269.976	4.96	-0.27
27.62	270.195	4.83	-0.28
27.65	270.415	4.85	-0.28
27.68	270.634	4.85	-0.08
27.71	270.854	4.93	-0.09
27.74	271.073	4.82	-0.03
27.77	271.293	5.05	-0.03
27.80	271.512	4.74	-0.12
27.86	271.951	4.82	0.08
27.89	272.171	4.79	-0.07
27.92	272.390	4.96	0.15
27.95	272.610	4.68	0.02
27.98	272.829	4.92	0.01
28.01	273.049	4.90	0.02
28.04	273.268	4.76	-0.24
28.13	273.927	4.68	
28.16	274.146	4.76	0.64
28.19	274.366	4.78	0.17
28.22	274.585	4.78	0.27
28.25	274.805	4.60	0.01
28.28	275.024	4.75	-0.05
28.31	275.244	4.78	0.47
28.34	275.463	4.78	0.55
28.40	275.902	4.64	0.45
28.43	276.122	4.81	0.28
28.46	276.341	4.48	0.37
28.49	276.561	4.60	
28.55	277.000	4.61	0.70
28.58	277.421	4.46	0.41
28.61	277.842	4.62	0.22
28.64	278.263	4.33	0.64
28.67	278.684	4.40	0.64
28.70	279.105	4.34	0.79
28.73	279.526	4.39	0.80
28.76	279.947	4.21	0.79
28.79	280.368	4.24	0.77
28.82	280.789	4.19	0.87
28.85	281.211	4.10	0.85
28.88	281.632	4.05	0.74
28.91	282.053	3.97	0.78
28.94	282.474	4.10	0.90
28.97	282.895	4.09	0.80
29.03	283.737	4.03	0.91
29.06	284.158	4.03	0.79
29.09	284.579	4.09	0.89
29.12	285.000	3.99	0.83
29.15	285.421	4.04	0.85
29.18	285.842	3.90	0.73
29.21	286.263	4.52	-0.65
29.24	286.684	4.11	0.86
29.27	287.105	3.97	0.74
29.30	287.526	3.91	0.59
29.33	287.947	3.96	0.71
29.36	288.368	3.86	0.50
29.39	288.789	3.96	0.42
29.42	289.211	4.11	0.33
29.45	289.632	3.92	0.41
29.48	290.053	4.38	0.24
29.54	290.895	4.71	0.42
29.57	291.316	4.58	0.50
29.60	291.737	4.68	0.37
29.63	292.158	4.63	0.15
29.66	292.579	4.55	0.28
29.69	293.000	4.53	0.40
