/* DATA DESCRIPTION:
Citation:	Voelker, Antje H L; de Abreu, Lucia (2011): Raw stable oxygen and carbon isotope ratios of benthic foraminifera of sediment core MD95-2040. PANGAEA, https://doi.org/10.1594/PANGAEA.746475, 
	In supplement to: Voelker, AHL; de Abreu, L (2011): A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal and Vertical Gradients. In: Rashid, H; Polyak, L; Mosley-Thompson, E (eds.), Abrupt Climate Change: Mechanisms, Patterns, and Impacts. Geophysical Monograph Series (AGU, Washington D.C.), 193, 15-37, https://doi.org/10.1029/2010GM001021
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: 40.581833 * LONGITUDE: -9.861167
	DATE/TIME START: 1995-07-07T00:00:00 * DATE/TIME END: 1995-07-07T00:00:00
	MINIMUM DEPTH, sediment/rock: 22.22 m * MAXIMUM DEPTH, sediment/rock: 35.21 m
Event(s):	MD95-2040 (MD952040) * LATITUDE: 40.581833 * LONGITUDE: -9.861167 * DATE/TIME: 1995-07-07T00:00:00 * ELEVATION: -2465.0 m * Recovery: 35 m * LOCATION: Porto Seamount * CAMPAIGN: MD101 (IMAGES I) (URI: hdl:10013/epic.37487.d001) * BASIS: Marion Dufresne (1995) (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXIV Sections, core bent; section IIb jamed in the bent part of the core, recuperated in 1/2 liner
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Cibicidoides wuellerstorfi, δ18O [‰ PDB] (C. wuellerstorfi δ18O) * PI: Voelker, Antje H L (https://orcid.org/0000-0001-6465-6023, antje.voelker@ipma.pt) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Voelker, Antje H L (https://orcid.org/0000-0001-6465-6023, antje.voelker@ipma.pt) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Melonis sp., δ18O [‰ PDB] (Melonis sp. δ18O) * PI: Voelker, Antje H L (https://orcid.org/0000-0001-6465-6023, antje.voelker@ipma.pt) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Melonis sp., δ13C [‰ PDB] (Melonis sp. δ13C) * PI: Voelker, Antje H L (https://orcid.org/0000-0001-6465-6023, antje.voelker@ipma.pt) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Uvigerina peregrina, δ18O [‰ PDB] (U. peregrina δ18O) * PI: Voelker, Antje H L (https://orcid.org/0000-0001-6465-6023, antje.voelker@ipma.pt) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Uvigerina peregrina, δ13C [‰ PDB] (U. peregrina δ13C) * PI: Voelker, Antje H L (https://orcid.org/0000-0001-6465-6023, antje.voelker@ipma.pt) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	742 data points
*/
Depth [m]	C. wuellerstorfi δ18O [‰ PDB]	C. wuellerstorfi δ13C [‰ PDB]	Melonis sp. δ18O [‰ PDB]	Melonis sp. δ13C [‰ PDB]	U. peregrina δ18O [‰ PDB]	U. peregrina δ13C [‰ PDB]
26.51			4.28	-1.85		
26.54			4.28	-1.76		
26.57			4.28	-1.88		
26.60			4.38	-1.89		
26.63			4.16	-2.09		
26.72			4.41	-1.43		
26.75			4.37	-1.57		
26.87			3.66	-2.18		
26.93			4.33	-1.89		
27.08			4.38	-1.41		
27.17			4.43	-1.69		
27.20			4.68	-1.85		
27.23			4.49	-1.41		
27.29	4.49	-1.58				
27.32			4.10	-0.56		
27.44	4.21	-1.46				
27.47					4.83	-1.27
27.53	4.11	-0.32				
27.56	4.14	-0.36				
27.59	4.32	-0.27				
27.62	4.19	-0.28				
27.65	4.21	-0.28				
27.68	4.21	-0.08				
27.71	4.29	-0.09				
27.74	4.18	-0.03				
27.77	4.41	-0.03				
27.80	4.10	-0.12				
27.86	4.18	0.08				
27.89	4.15	-0.07				
27.92	4.32	0.15				
27.95	4.04	0.02				
27.98	4.28	0.01				
28.01	4.26	0.02				
28.04	4.12	-0.24				
28.13					4.68	-0.94
28.16	4.12	0.64				
28.19	4.14	0.17				
28.22	4.14	0.27				
28.25	3.96	0.01				
28.28	4.11	-0.05				
28.31	4.14	0.47				
28.34	4.14	0.55				
28.40	4.00	0.45				
28.43	4.17	0.28				
28.46	3.84	0.37				
28.49					4.60	-0.83
28.55	3.97	0.70				
28.58	3.82	0.41				
28.61	3.98	0.22				
28.64	3.69	0.64				
28.67	3.76	0.64				
28.70	3.70	0.79				
28.73	3.75	0.80				
28.76	3.57	0.79				
28.79	3.60	0.77				
28.82	3.55	0.87				
28.85	3.46	0.85				
28.88	3.41	0.74				
28.91	3.33	0.78				
28.94	3.46	0.90				
28.97	3.45	0.80				
29.03	3.39	0.91				
29.06	3.39	0.79				
29.09	3.45	0.89				
29.12	3.35	0.83				
29.15	3.40	0.85				
29.18	3.26	0.73				
29.21	3.95	-0.66				
29.21	3.81	-0.63				
29.24	3.47	0.86				
29.27	3.33	0.74				
29.30	3.27	0.59				
29.33	3.32	0.71				
29.36	3.22	0.50				
29.39	3.32	0.42				
29.42	3.47	0.33				
29.45	3.28	0.41				
29.48	3.74	0.24				
29.54	4.07	0.42				
29.57	3.94	0.50				
29.60	4.04	0.37				
29.63	3.99	0.15				
29.66	3.91	0.28				
29.69	3.89	0.40				
29.72	4.00	0.66				
29.75	4.05	0.27				
29.78	4.04	-0.10				
29.81	4.11	0.71				
29.84	4.00	0.36				
29.87	4.02	0.59				
29.90	4.19	0.56				
29.93	3.87	0.44				
29.96	3.99	0.50				
29.98	4.07	0.49				
30.02					4.38	-0.57
30.05					4.07	-0.32
30.08	3.89	0.79				
30.14					4.34	-0.79
30.17	3.51	0.73				
30.20	3.66	0.76				
30.23	3.44	0.70				
30.26	3.57	0.85				
30.29	3.69	0.92				
30.32	3.40	0.82				
30.35	3.95	-0.27				
30.38					4.01	-0.62
30.41	3.78	0.67				
30.44	3.40	0.76				
30.47	3.58	0.49				
30.50	3.63	0.84				
30.53	4.01	0.89				
30.53	3.79	0.63				
30.54	3.56	0.65				
30.59	3.64	0.34				
30.62	3.64	0.59				
30.67	3.65	0.82				
30.71	3.55	0.67				
30.74	3.36	0.72				
30.77	3.27	0.71				
30.80	3.45	0.79				
30.83	3.17	0.68				
30.86	3.20	0.58				
30.89	3.32	0.64				
30.92	3.21	0.62				
30.95	3.13	0.41				
30.98	3.15	0.58				
31.04	2.96	0.55				
31.07	3.27	0.88				
31.10	2.97	0.65				
31.13					3.75	-0.25
31.16	3.32	0.69				
31.19	3.29	0.86				
31.22	3.12	0.78				
31.25	3.16	0.80				
31.28	3.20	0.87				
31.31	2.98	0.82				
31.40	2.86	0.72				
31.43	2.77	0.79				
31.46	2.69	0.84				
31.49	2.64	0.74				
31.52	2.73	0.85				
31.55	2.83	0.88				
31.58	2.63	0.85				
31.61	2.70	0.82				
31.64	2.74	0.81				
31.67	2.80	0.74				
31.70	2.71	0.70				
31.73	2.59	0.55				
31.76	2.61	0.51				
31.79	2.50	0.52				
31.82	2.47	0.39				
31.85	2.47	0.48				
31.88	2.50	0.36				
31.94	2.38	0.30				
31.97	2.93	-0.19				
32.03	2.48	0.20				
32.27	4.82	-1.49				
32.30	4.86	-1.29				
32.30	4.51	-1.64				
32.33	4.19	-0.49				
32.39	4.50	-0.34				
32.44	4.28	-0.43				
32.51	4.52	-0.18				
32.57	4.59	-0.04				
32.60	4.61	0.03				
32.63	4.11	-0.55				
32.66	4.66	-0.16				
32.69	4.55	-0.02				
32.72	4.72	-0.18				
32.75	4.52	0.15				
32.78	4.42	-0.23				
32.81	4.59	-0.20				
32.84	4.57	-0.01				
32.90	4.67	0.25				
32.93	4.48	0.29				
32.96	4.48	0.36				
32.99	4.42	0.12				
33.08	4.44	0.19				
33.11	4.50	0.23				
33.14	4.48	0.45				
33.17	4.37	0.17				
33.20	4.40	-0.03				
33.23	4.41	0.25				
33.26	4.18	0.17				
33.29	4.29	0.13				
33.32	4.27	0.14				
33.35	4.41	0.36				
33.38	4.40	0.21				
33.41	4.17	-0.07				
33.44	4.37	0.19				
33.47	4.16	0.05				
33.50	4.29	0.03				
33.53	4.10	0.09				
33.56	4.34	0.27				
33.59	4.37	0.59				
33.62	4.27	0.42				
33.65	4.21	0.26				
33.68	4.27	0.46				
33.71	4.23	0.45				
33.74	4.11	0.37				
33.77	4.14	0.33				
33.80	4.00	0.20				
33.83	4.02	0.23				
33.86	4.14	0.07				
33.89	3.91	-0.08				
33.92	3.89	0.22				
33.95	3.99	0.13				
34.01	4.10	0.08				
34.04	3.68	-0.33				
34.04	3.49	0.18				
34.07	4.10	0.08				
34.07	4.12	-0.18				
34.13	3.97	0.02				
34.19	4.07	0.17				
34.22	3.99	-0.11				
34.25	4.02	-0.29				
34.28	3.90	-0.01				
34.31	4.09	-0.18				
34.34	4.10	-0.08				
34.37	4.03	-0.17				
34.43	3.76	-0.04				
34.46	4.11	-0.18				
34.49	3.96	-0.23				
34.52	4.06	-0.11				
34.55	4.20	-0.17				
34.58	4.05	-0.26				
34.64	4.19	-0.27				
34.67	4.13	-0.22				
34.70	4.28	-0.36				
34.73	4.31	-0.22				
34.76	4.19	-0.22				
34.79	4.26	-0.25				
34.82	4.23	-0.33				
34.85	4.18	-0.24				
34.88	4.22	-0.22				
34.91	4.01	-0.39				
34.94	4.20	-0.23				
35.03	4.28	-0.29				
35.06	4.23	-0.31				
35.09	4.28	-0.22				
35.15	4.22	-0.20				
35.18	4.42	-0.12				
35.21	4.31	-0.16				
