/* DATA DESCRIPTION:
Citation:	Govin, Aline (2012): 4) Planktic and benthic foraminiferal stable isotope data from core MD95-2042: revised chronology for the Last Interglacial (period 135-110 ka). PANGAEA, https://doi.org/10.1594/PANGAEA.777659, 
	In supplement to: Govin, Aline; Braconnot, Pascale; Capron, Emilie; Cortijo, Elsa; Duplessy, Jean-Claude; Jansen, Eystein; Labeyrie, Laurent D; Landais, Amaelle; Marti, O; Michel, Elisabeth; Mosquet, E; Risebrobakken, Bjørg; Swingedouw, Didier; Waelbroeck, Claire (2012): Persistent influence of ice sheet melting on high northern latitude climate during the early Last Interglacial. Climate of the Past, 8, 483-507, https://doi.org/10.5194/cp-8-483-2012
Related to:	Shackleton, Nicholas J; Chapman, Mark R; Sanchez Goñi, Maria Fernanda; Pailler, Delphine; Lancelot, Yves (2002): The classic marine isotope substage 5e and the Eemian Interglacial. Quaternary Research, 58, 14-16, https://doi.org/10.1006/qres.2001.2312
	Shackleton, Nicholas J; Hall, Michael A; Vincent, Edith (2000): Phase relationships between millennial-scale events 64,000-24,000 years ago. Paleoceanography, 15(6), 565-569, https://doi.org/10.1029/2000PA000513
Project(s):	Center for Marine Environmental Sciences (MARUM) (URI: http://www.marum.de/en/)
Coverage:	LATITUDE: 37.799833 * LONGITUDE: -10.166500
	DATE/TIME START: 1995-07-09T00:00:00 * DATE/TIME END: 1995-07-09T00:00:00
	MINIMUM DEPTH, sediment/rock: 24.20 m * MAXIMUM DEPTH, sediment/rock: 26.60 m
Event(s):	MD95-2042 (MD952042) * LATITUDE: 37.799833 * LONGITUDE: -10.166500 * DATE/TIME: 1995-07-09T00:00:00 * ELEVATION: -3146.0 m * Recovery: 40 m * LOCATION: Marge Ibérique * CAMPAIGN: MD101 (IMAGES I) (URI: hdl:10013/epic.37487.d001) * BASIS: Marion Dufresne (1995) (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXVII Sections, OK; core bent
Comment:	Age: Correlation to Greenland and Antarctic ice cores.UVIG = Uvigerina sp.PWUELL = Cibicidoides wuellerstorfiGLOBOBUL = Globobulimina affinisMELBAR = Melonis barleanumCIB = Cibicides sp.
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Globigerina bulloides, δ18O [‰ PDB] (G. bulloides δ18O) * PI: Govin, Aline (https://orcid.org/0000-0001-8512-5571, aline.govin@lsce.ipsl.fr)
	Species (Species) * PI: Govin, Aline (https://orcid.org/0000-0001-8512-5571, aline.govin@lsce.ipsl.fr)
	Foraminifera, benthic δ18O [‰ PDB] (Foram bent δ18O) * PI: Govin, Aline (https://orcid.org/0000-0001-8512-5571, aline.govin@lsce.ipsl.fr) * COMMENT: Values on Uvigerina scale
	Cibicides sp., δ13C [‰ PDB] (Cibicides sp. δ13C) * PI: Govin, Aline (https://orcid.org/0000-0001-8512-5571, aline.govin@lsce.ipsl.fr)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	300 data points
*/
Depth [m]	Age [ka BP]	G. bulloides δ18O [‰ PDB]	Species	Foram bent δ18O [‰ PDB]	Cibicides sp. δ13C [‰ PDB]
26.00	129.91	1.14	GLOBOBUL	3.51	
26.04	130.06	1.00	MELBAR	3.70	
26.08	130.21	1.19	MELBAR	3.69	
26.12	130.35	1.60	MELBAR	3.93	
26.16	130.50	1.57	MELBAR	3.95	
26.20	130.65	1.88	GLOBOBUL	3.98	
26.20	130.65		PWUELL	3.93	-0.24
26.24	130.80	1.97	PWUELL	3.81	-0.04
26.24	130.80		MELBAR	4.09	
26.28	130.95	1.96	MELBAR	4.20	
26.28	130.95		PWUELL	4.02	-0.03
26.32	131.09	2.29	PWUELL	3.90	-0.30
26.36	131.24	2.17	MELBAR	4.11	
26.36	131.24		PWUELL	4.25	-0.37
26.40	131.39	2.36	GLOBOBUL	4.30	
26.40	131.39		PWUELL	4.38	-0.16
26.44	131.54	2.21	PWUELL	4.44	0.03
26.48	131.69	2.14	PWUELL	4.50	-0.08
26.52	131.83	2.57	PWUELL	4.41	-0.31
26.56	131.97	2.52	CIB	4.48	-0.61
26.56	131.97		GLOBOBUL	4.53	
26.60	132.10	2.69	GLOBOBUL	4.59	
26.60	132.10		PWUELL	4.60	-0.33
