/* DATA DESCRIPTION:
Citation:	Martrat, Belén; Grimalt, Joan O; Shackleton, Nicholas J; de Abreu, Lucia; Hutterli, Manuel A; Stocker, Thomas F (2007): (Table S4) Stable carbon isotope ratios of benthic foraminifera of sediment core MD95-2042. PANGAEA, https://doi.org/10.1594/PANGAEA.771893, 
	In supplement to: Martrat, B et al. (2007): Four climate cycles of recurring deep and surface water destabilizations on the Iberian Margin. Science, 317(5837), 502-507, https://doi.org/10.1126/science.1139994
Coverage:	LATITUDE: 37.799833 * LONGITUDE: -10.166500
	DATE/TIME START: 1995-07-09T00:00:00 * DATE/TIME END: 1995-07-09T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.00 m * MAXIMUM DEPTH, sediment/rock: 29.48 m
Event(s):	MD95-2042 (MD952042) * LATITUDE: 37.799833 * LONGITUDE: -10.166500 * DATE/TIME: 1995-07-09T00:00:00 * ELEVATION: -3146.0 m * Recovery: 40 m * LOCATION: Marge Ibérique * CAMPAIGN: MD101 (IMAGES I) (URI: hdl:10013/epic.37487.d001) * BASIS: Marion Dufresne (1995) (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXVII Sections, OK; core bent
Comment:	Data combined from sediment cores MD95-2042 and MD01-2443.
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Foraminifera, benthic δ13C [‰ PDB] (Foram bent δ13C) * PI: Martrat, Belén (https://orcid.org/0000-0001-9904-9178, belen.martrat@idaea.csic.es)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	1003 data points
*/
Depth [m]	Age [ka BP]	Foram bent δ13C [‰ PDB]
12.64	35.05	0.37
12.70	35.29	0.16
12.72	35.37	0.21
12.88	36.04	0.63
13.00	36.59	0.51
13.04	36.81	0.59
13.08	37.04	0.52
13.12	37.25	0.25
13.16	37.44	0.64
13.20	37.62	0.62
13.24	37.78	0.45
13.28	37.94	0.68
13.40	38.36	0.71
13.64	38.91	0.04
13.76	39.08	0.03
14.00	40.03	0.34
14.16	41.01	0.36
14.28	41.44	0.48
14.32	41.53	0.47
14.64	42.63	0.48
14.68	42.80	0.60
14.72	42.98	0.68
14.76	43.16	0.62
14.80	131.97	-0.06
14.80	43.35	0.69
14.82	132.90	0.32
14.84	133.57	0.09
14.84	43.54	0.42
14.86	133.96	0.04
14.88	134.35	0.16
14.90	134.61	0.39
14.92	134.83	0.11
14.92	43.96	0.37
14.94	135.05	0.07
14.96	135.26	-0.04
14.98	135.50	0.20
15.00	135.77	0.04
15.02	136.11	0.09
15.04	136.53	0.09
15.04	44.66	0.51
15.06	137.06	0.76
15.08	137.74	0.02
15.08	44.91	0.41
15.10	138.55	0.13
15.12	139.47	0.36
15.12	45.17	0.63
15.14	140.52	-0.01
15.16	141.82	0.03
15.16	45.42	0.56
15.18	143.45	-0.05
15.20	145.21	0.04
15.22	146.86	0.21
15.24	148.19	0.01
15.26	149.15	-0.02
15.28	149.80	-0.14
15.28	46.14	0.69
15.30	150.23	0.14
15.32	150.54	0.01
15.32	46.35	0.66
15.34	150.76	0.18
15.36	150.95	0.00
15.36	46.55	0.78
15.38	151.11	-0.02
15.40	151.27	0.90
15.42	151.43	0.28
15.44	151.59	0.00
15.44	46.92	0.76
15.46	151.78	0.16
15.48	152.00	-0.09
15.50	152.27	0.01
15.52	152.58	0.00
15.52	47.27	0.07
15.54	152.92	0.11
15.56	153.24	-0.03
15.58	153.56	-0.18
15.60	153.89	0.03
15.62	154.22	0.16
15.64	154.55	0.15
15.66	154.89	0.15
15.68	155.23	0.21
15.70	155.60	-0.03
15.72	47.95	-0.04
15.72	156.00	0.38
15.74	156.44	0.25
15.76	156.90	0.40
15.78	157.36	0.63
15.80	157.78	0.49
15.82	158.16	0.57
15.84	48.36	0.24
15.84	158.52	0.59
15.86	158.87	0.46
15.88	48.53	0.19
15.88	159.28	0.39
15.90	159.81	-0.06
15.92	160.51	0.44
15.94	161.40	0.15
15.96	162.40	0.06
15.98	163.42	0.16
16.00	164.47	0.12
16.02	165.54	0.37
16.04	166.54	0.20
16.04	49.22	0.62
16.06	167.53	0.37
16.08	168.64	0.01
16.08	49.40	0.42
16.10	169.91	-0.01
16.12	171.21	0.14
16.12	49.61	0.55
16.14	172.37	0.14
16.16	173.19	0.14
16.16	49.87	0.57
16.18	174.01	0.19
16.20	174.69	0.05
16.22	175.37	0.27
16.24	176.17	0.36
16.24	50.51	0.52
16.26	177.11	0.16
16.28	178.15	0.34
16.30	179.28	0.28
16.32	180.50	0.23
16.34	181.69	0.30
16.36	182.70	0.32
16.36	51.56	0.53
16.38	183.45	0.54
16.40	183.95	0.41
16.40	51.91	0.47
16.42	184.27	0.38
16.44	184.47	0.50
16.44	52.26	0.68
16.46	184.64	0.65
16.48	184.78	0.64
16.48	52.61	0.67
16.50	184.92	0.48
16.52	185.04	0.49
16.52	52.96	0.73
16.54	185.16	0.67
16.56	185.28	0.43
16.56	53.30	0.63
16.58	185.43	0.57
16.60	185.59	0.53
16.60	53.64	0.56
16.62	185.76	0.62
16.64	185.96	0.47
16.64	53.96	0.81
16.66	186.20	0.46
16.68	186.53	0.63
16.70	187.00	0.41
16.72	187.61	0.49
16.74	188.32	0.44
16.76	188.97	0.02
16.78	189.46	0.76
16.80	189.81	0.38
16.82	190.09	0.92
16.84	190.40	0.76
16.86	190.83	0.78
16.90	192.02	0.62
16.92	192.66	0.72
16.94	193.33	0.57
16.96	55.33	0.36
16.96	194.00	0.76
16.98	194.63	0.73
17.00	55.39	0.24
17.00	195.19	0.44
17.02	195.68	0.84
17.04	196.12	0.52
17.06	196.53	-0.44
17.08	196.93	-0.21
17.08	55.57	0.40
17.10	197.33	0.57
17.12	197.75	0.69
17.14	198.22	0.37
17.16	198.80	0.40
17.18	199.54	0.41
17.20	56.30	-0.07
17.20	200.48	0.43
17.22	201.53	0.58
17.24	202.48	0.85
17.26	203.18	0.02
17.27	57.03	0.45
17.28	203.62	0.37
17.30	203.92	0.42
17.30	57.36	0.48
17.32	204.13	0.41
17.33	57.68	0.50
17.34	204.30	0.38
17.36	57.96	0.70
17.36	204.44	0.90
17.38	204.58	0.57
17.40	58.26	0.55
17.40	204.72	0.78
17.44	205.16	0.02
17.44	58.48	0.60
17.46	205.49	0.81
17.47	58.62	0.50
17.48	205.90	0.07
17.50	206.34	-0.03
17.50	58.75	0.48
17.52	206.75	-0.67
17.53	58.89	0.58
17.54	207.10	-0.25
17.56	207.38	0.62
17.57	59.08	0.36
17.58	207.61	0.20
17.60	207.84	0.12
17.60	59.26	0.36
17.62	208.07	0.05
17.64	208.32	0.09
17.64	59.52	0.39
17.66	208.59	0.07
17.68	208.89	0.18
17.68	59.81	0.20
17.70	209.24	0.50
17.72	209.63	-0.50
17.74	210.06	0.25
17.76	210.51	0.59
17.78	210.98	0.65
17.80	211.42	-0.10
17.80	60.70	0.13
17.82	211.84	0.61
17.84	212.23	0.09
17.86	212.59	0.36
17.88	212.91	0.52
17.90	213.21	0.70
17.92	213.49	0.78
17.94	213.75	-0.01
17.96	214.01	0.60
17.98	214.25	0.40
18.00	214.49	0.40
18.02	214.72	0.57
18.04	214.95	0.16
18.06	61.76	-0.17
18.06	215.16	0.57
18.08	215.36	0.53
18.10	215.54	0.75
18.12	215.71	-0.39
18.14	215.88	-0.05
18.16	216.05	-0.23
18.18	216.28	0.70
18.20	216.61	0.34
18.22	217.12	-0.09
18.24	217.90	-0.11
18.26	218.96	0.25
18.27	62.35	-0.31
18.28	220.22	-0.15
18.29	220.84	0.34
18.32	222.40	0.01
18.34	222.99	0.41
18.36	223.31	0.02
18.38	223.50	0.11
18.40	223.69	0.19
18.42	223.96	0.46
18.44	224.35	0.19
18.46	224.91	0.18
18.48	225.61	0.14
18.50	226.39	0.47
18.52	227.14	0.46
18.54	227.81	0.39
18.56	228.42	0.47
18.58	228.98	1.30
18.60	229.53	0.63
18.62	230.03	0.63
18.64	64.03	-0.06
18.64	230.47	0.63
18.66	230.83	0.66
18.68	231.16	0.53
18.70	231.48	0.60
18.72	64.48	0.20
18.72	231.86	0.60
18.74	232.30	0.24
18.76	232.82	0.42
18.78	233.39	0.48
18.80	233.99	0.37
18.82	234.55	0.31
18.84	235.05	0.70
18.86	235.45	0.76
18.88	235.75	0.48
18.90	235.97	0.60
18.92	236.14	0.31
18.94	236.27	0.28
18.96	236.38	0.39
18.98	236.48	0.43
19.00	236.57	0.66
19.02	236.68	0.12
19.04	236.79	0.22
19.06	236.95	0.33
19.08	237.22	-0.26
19.10	237.67	0.11
19.12	238.34	0.73
19.14	239.23	0.68
19.16	240.23	0.66
19.18	241.18	0.13
19.20	241.37	0.07
19.22	241.55	-0.07
19.24	241.74	0.02
19.26	242.43	0.11
19.28	243.58	-0.53
19.30	244.63	0.16
19.32	244.81	0.24
19.34	245.06	0.21
19.36	245.79	0.15
19.38	246.35	0.41
19.40	246.91	0.02
19.42	247.52	0.28
19.44	247.67	0.27
19.46	247.93	-0.14
19.48	248.30	0.18
19.50	69.86	-0.05
19.52	249.50	0.21
19.53	70.06	0.26
19.54	249.94	0.25
19.56	250.21	0.21
19.58	250.63	0.40
19.60	251.00	0.32
19.62	251.33	0.44
19.64	251.62	0.19
19.66	251.99	0.19
19.68	252.23	0.32
19.70	252.48	0.28
19.70	71.29	0.46
19.72	252.73	0.13
19.74	253.23	0.23
19.76	253.45	0.29
19.78	253.72	0.14
19.80	254.04	0.30
19.82	254.36	0.16
19.84	254.68	0.26
19.88	255.16	1.17
19.90	255.67	0.51
19.92	255.89	0.50
19.94	256.14	0.46
19.96	256.42	0.49
19.98	256.84	0.41
20.00	257.07	0.38
20.02	257.28	0.54
20.03	75.03	0.37
20.04	257.49	0.30
20.06	257.86	0.00
20.08	258.14	0.43
20.10	258.38	0.38
20.11	75.68	0.56
20.12	258.59	0.09
20.14	258.87	0.04
20.14	75.90	0.73
20.16	259.14	-0.03
20.17	76.13	0.65
20.18	259.61	0.39
20.20	260.02	0.21
20.20	76.35	0.94
20.22	260.27	0.19
20.23	76.57	0.73
20.24	260.57	-0.12
20.26	260.84	-0.02
20.27	76.83	0.81
20.28	261.11	-0.14
20.30	261.57	0.03
20.32	262.08	-0.08
20.33	77.15	0.57
20.34	262.73	-0.24
20.36	263.12	-0.21
20.37	77.33	0.35
20.38	263.59	-0.90
20.40	264.13	-0.37
20.44	264.98	-0.12
20.46	265.39	-0.16
20.47	77.82	0.40
20.48	265.97	-0.31
20.50	266.63	-0.63
20.50	78.03	0.40
20.52	267.44	-0.83
20.54	267.74	-0.18
20.56	268.03	-0.12
20.56	78.59	0.81
20.58	268.39	-0.27
20.60	268.74	-0.27
20.60	79.07	0.57
20.62	269.36	-0.16
20.63	79.46	0.79
20.64	269.86	-0.16
20.66	270.40	-0.39
20.67	79.95	0.83
20.68	270.89	0.07
20.70	271.80	0.09
20.70	80.30	0.75
20.72	272.28	-0.03
20.73	80.63	0.84
20.74	272.77	0.04
20.76	273.18	-0.11
20.77	81.02	0.53
20.78	273.54	-0.03
20.80	273.96	-0.07
20.80	81.30	0.67
20.82	274.28	0.05
20.84	274.61	-0.21
20.86	274.96	-0.16
20.87	81.94	0.76
20.88	275.39	-0.05
20.90	275.68	0.12
20.90	82.24	0.79
20.92	276.04	0.11
20.93	82.55	0.81
20.94	276.46	-0.03
20.96	276.90	0.21
20.97	82.97	0.66
20.98	277.19	0.03
21.00	277.50	0.07
21.00	83.29	0.59
21.02	277.82	0.23
21.03	83.61	0.78
21.04	278.26	0.24
21.06	278.61	0.32
21.07	84.03	0.63
21.08	278.98	0.28
21.10	279.37	0.46
21.12	279.77	0.34
21.13	84.60	0.81
21.14	280.00	0.15
21.16	280.24	0.32
21.17	84.94	0.78
21.18	280.48	0.58
21.20	280.80	0.23
21.20	85.15	0.79
21.22	280.95	0.65
21.23	85.34	0.78
21.24	281.12	0.09
21.26	281.29	0.80
21.27	85.55	0.48
21.28	281.44	0.10
21.30	281.74	0.26
21.30	85.68	0.53
21.32	282.03	0.24
21.33	85.81	0.43
21.34	282.30	0.52
21.36	282.51	0.62
21.37	85.97	0.12
21.38	282.64	-0.05
21.40	282.89	0.71
21.42	283.24	0.70
21.44	283.71	0.71
21.46	284.02	0.80
21.47	86.46	0.28
21.48	284.32	0.85
21.50	86.64	0.02
21.50	284.59	0.94
21.52	284.96	0.71
21.54	285.33	0.82
21.56	285.62	0.18
21.58	285.91	0.59
21.60	286.08	0.66
21.62	286.26	0.62
21.64	286.44	0.39
21.66	286.70	0.62
21.68	286.89	1.04
21.70	287.09	0.66
21.72	287.30	0.89
21.73	88.05	0.05
21.74	287.57	0.94
21.76	287.78	0.97
21.78	287.99	0.80
21.80	288.18	0.28
21.82	288.52	0.46
21.83	88.52	0.45
21.84	288.71	0.44
21.86	288.93	0.38
21.88	289.16	0.50
21.90	289.53	0.21
21.90	88.83	0.66
21.92	289.72	0.35
21.93	88.97	0.60
21.94	289.96	0.53
21.96	290.25	0.55
21.98	291.67	0.38
22.00	292.24	0.42
22.02	293.48	0.50
22.03	89.41	0.52
22.04	294.43	0.04
22.06	295.32	0.20
22.07	89.58	0.65
22.08	295.53	0.30
22.10	296.02	0.24
22.10	89.72	0.88
22.12	296.38	0.44
22.14	296.66	-0.19
22.16	296.92	-0.29
22.17	90.07	0.79
22.18	297.17	0.13
22.20	297.41	-0.14
22.20	90.25	0.76
22.22	297.74	0.02
22.23	90.45	0.71
22.24	298.03	0.12
22.26	298.38	0.41
22.27	90.77	0.69
22.28	298.72	-0.02
22.30	299.06	0.13
22.30	91.06	0.65
22.32	299.62	0.60
22.34	300.11	0.42
22.36	300.58	0.49
22.37	91.88	0.79
22.38	301.05	0.60
22.40	301.46	0.10
22.42	301.63	-0.04
22.43	92.75	0.79
22.44	301.87	-0.34
22.46	302.16	0.04
22.48	302.29	-0.05
22.50	302.41	0.16
22.50	93.84	0.69
22.52	302.53	0.15
22.53	94.31	0.83
22.54	302.77	0.66
22.56	303.01	0.30
22.58	303.24	0.28
22.60	303.46	0.07
22.60	95.33	0.62
22.62	303.69	0.05
22.64	303.92	0.50
22.66	304.13	0.35
22.67	96.28	0.66
22.68	304.43	0.35
22.70	304.80	0.28
22.70	96.66	0.57
22.72	304.99	0.29
22.73	97.04	0.64
22.74	305.19	0.43
22.76	305.40	0.62
22.77	97.53	0.75
22.78	305.97	-0.80
22.80	307.32	0.24
22.80	97.90	0.77
22.82	307.87	0.76
22.83	98.28	0.70
22.84	308.19	0.70
22.86	308.50	0.91
22.88	308.91	0.60
22.90	309.24	0.56
22.90	99.20	0.81
22.92	309.63	0.37
22.93	99.60	0.81
22.94	310.24	0.02
22.96	310.84	0.48
22.97	100.13	0.57
22.98	311.14	0.53
23.00	311.35	0.23
23.00	100.52	0.71
23.02	311.56	-0.59
23.04	311.85	-0.64
23.06	312.34	-0.15
23.07	101.40	0.79
23.08	312.54	0.03
23.10	312.72	0.10
23.10	101.78	0.67
23.12	312.94	0.46
23.13	102.15	0.74
23.14	313.19	0.53
23.16	313.41	0.47
23.17	102.64	0.63
23.18	314.46	0.49
23.20	314.88	0.53
23.20	103.01	0.73
23.22	315.33	0.47
23.23	103.36	0.70
23.24	315.66	0.51
23.26	316.18	0.35
23.28	316.49	0.00
23.30	316.72	0.29
23.30	104.10	0.64
23.32	316.95	0.35
23.33	104.37	0.66
23.34	317.21	0.45
23.36	317.50	0.29
23.38	317.75	0.14
23.40	318.02	0.45
23.42	318.29	0.59
23.44	318.52	0.10
23.46	318.76	0.39
23.48	319.03	0.73
23.50	319.52	0.66
23.52	105.54	0.34
23.52	319.86	0.66
23.54	320.22	0.56
23.56	320.60	0.50
23.58	321.11	0.29
23.60	321.51	0.45
23.60	105.97	0.54
23.62	321.78	0.34
23.64	322.04	0.35
23.64	106.24	0.47
23.66	322.27	0.47
23.68	322.48	-0.05
23.68	106.54	0.40
23.70	106.69	0.48
23.70	322.85	0.49
23.72	106.85	0.42
23.72	323.00	0.50
23.74	323.16	0.40
23.76	323.31	0.41
23.76	107.17	0.56
23.78	323.50	0.70
23.80	323.73	0.44
23.80	107.50	0.80
23.82	324.00	0.27
23.84	107.84	0.49
23.84	324.18	0.69
23.86	324.34	0.33
23.88	108.21	0.32
23.88	324.47	0.65
23.90	324.80	0.43
23.92	108.63	0.02
23.92	325.03	0.33
23.94	325.30	0.76
23.96	109.11	0.02
23.96	325.59	0.55
23.98	325.94	0.84
24.00	326.35	0.36
24.02	326.80	0.37
24.04	110.21	0.36
24.04	327.20	0.50
24.06	327.59	0.54
24.08	110.76	0.20
24.08	327.96	0.28
24.10	328.36	0.59
24.12	111.29	0.37
24.12	328.78	0.63
24.14	329.23	0.78
24.16	111.80	0.37
24.16	329.81	0.70
24.18	330.12	0.68
24.20	112.36	0.39
24.20	330.40	0.66
24.22	330.63	0.62
24.24	112.97	0.35
24.24	330.86	0.63
24.26	331.13	0.76
24.28	113.64	0.22
24.28	331.44	0.65
24.30	331.69	0.80
24.32	114.32	0.66
24.32	331.94	0.70
24.34	332.17	0.87
24.36	114.97	0.50
24.36	332.53	0.82
24.38	332.76	0.37
24.40	332.97	-0.07
24.42	333.16	-0.33
24.44	116.05	0.51
24.44	333.50	0.54
24.46	333.94	-0.24
24.48	334.47	-0.70
24.48	116.52	0.49
24.50	334.96	-0.21
24.52	116.92	0.46
24.52	335.35	0.54
24.54	335.65	0.71
24.56	117.29	0.58
24.56	335.96	0.61
24.58	336.26	0.12
24.60	336.55	-0.35
24.60	117.63	0.50
24.62	336.78	0.03
24.64	337.52	-0.35
24.64	117.95	0.55
24.66	338.13	-0.12
24.68	339.23	-0.12
24.68	118.25	0.38
24.70	339.47	-0.24
24.72	341.11	0.05
24.72	118.54	0.51
24.74	341.28	-0.26
24.76	341.48	-0.02
24.76	118.84	0.62
24.78	341.69	-0.05
24.79	119.10	0.64
24.80	342.09	0.00
24.82	342.36	-0.13
24.84	119.63	0.65
24.86	342.91	0.06
24.88	343.26	0.17
24.88	120.30	0.37
24.90	343.58	0.08
24.92	343.91	0.24
24.92	120.76	0.78
24.94	344.30	0.17
24.96	344.65	0.12
24.96	121.19	0.52
24.98	345.01	-0.04
25.00	345.97	0.03
25.00	121.61	0.64
25.02	346.30	0.10
25.04	346.69	-0.12
25.04	122.02	0.69
25.06	347.06	-0.12
25.08	347.29	0.24
25.08	122.43	0.78
25.10	347.59	0.04
25.12	347.93	0.09
25.12	122.85	0.80
25.14	348.59	0.03
25.16	348.91	0.01
25.16	123.26	0.85
25.18	349.02	0.00
25.20	349.51	-0.13
25.20	123.67	0.73
25.22	349.99	0.04
25.24	350.53	0.35
25.24	124.08	0.80
25.26	351.11	0.17
25.28	352.07	0.14
25.28	124.49	0.82
25.30	353.41	0.24
25.32	354.76	0.17
25.32	124.90	0.77
25.34	355.75	0.05
25.36	357.05	0.31
25.36	125.31	0.67
25.38	358.54	0.32
25.40	359.87	0.22
25.40	125.72	0.55
25.42	360.95	0.08
25.44	361.61	0.16
25.44	126.09	0.67
25.46	362.77	0.02
25.48	363.46	0.04
25.48	126.46	0.67
25.50	364.12	0.09
25.52	364.56	0.03
25.52	126.73	0.55
25.54	365.65	0.29
25.56	366.00	0.12
25.56	126.91	0.65
25.58	366.35	0.31
25.60	367.02	0.04
25.60	127.09	0.45
25.61	367.36	0.35
25.62	367.70	0.02
25.63	367.96	0.14
25.64	368.22	0.16
25.64	127.23	0.24
25.65	368.42	-0.15
25.66	368.61	0.48
25.67	369.03	0.31
25.68	127.37	0.27
25.68	369.44	0.48
25.69	369.80	0.22
25.70	370.16	0.08
25.71	370.53	-0.19
25.72	127.51	0.16
25.72	370.89	0.31
25.73	371.11	0.04
25.74	371.33	0.30
25.75	371.66	-0.13
25.76	371.98	0.17
25.77	372.10	0.12
25.78	372.21	0.42
25.80	372.42	0.02
25.81	372.53	0.16
25.82	372.64	0.50
25.83	372.75	0.48
25.84	372.85	0.28
25.85	372.96	0.31
25.86	373.07	0.41
25.87	373.18	0.17
25.88	128.40	-0.06
25.88	373.29	0.32
25.90	374.28	0.23
25.91	374.46	0.28
25.92	128.64	-0.32
25.92	374.64	0.41
25.93	375.00	0.32
25.94	375.35	0.15
25.96	375.92	0.45
25.97	376.10	0.45
25.98	376.28	0.60
26.00	377.24	0.48
26.02	377.54	0.63
26.04	378.12	0.59
26.06	378.55	0.71
26.08	378.94	0.70
26.10	379.80	0.60
26.12	380.10	0.43
26.14	381.11	0.55
26.16	381.92	0.69
26.18	382.47	0.69
26.20	129.66	-0.24
26.22	383.03	0.82
26.24	129.75	-0.04
26.24	383.29	0.72
26.26	383.53	0.76
26.28	129.84	-0.03
26.28	383.78	0.84
26.30	384.00	0.83
26.32	129.93	-0.30
26.32	384.20	0.74
26.34	384.36	0.64
26.36	130.02	-0.37
26.36	384.51	0.74
26.40	130.11	-0.16
26.40	385.01	0.81
26.44	130.20	0.03
26.44	385.27	0.16
26.48	130.29	-0.08
26.50	385.72	0.29
26.52	130.36	-0.31
26.52	386.10	0.83
26.54	386.55	0.73
26.56	387.00	0.71
26.58	387.44	0.75
26.60	130.50	-0.33
26.60	387.89	0.31
26.62	388.28	0.64
26.64	388.66	0.65
26.66	389.05	0.84
26.67	130.63	-0.23
26.68	389.23	0.65
26.70	389.41	0.56
26.72	389.59	0.57
26.74	389.76	0.63
26.76	389.94	0.04
26.77	130.80	0.05
26.78	390.12	0.38
26.80	130.85	-0.03
26.82	390.52	0.69
26.83	130.94	0.17
26.84	391.06	0.20
26.87	131.07	-0.03
26.88	391.46	0.63
26.90	131.16	-0.17
26.92	391.74	0.27
26.93	131.25	-0.30
26.94	391.89	1.26
26.96	392.05	0.69
26.97	131.37	-0.05
26.98	392.47	0.15
27.00	131.46	-0.13
27.00	392.65	0.76
27.02	392.80	0.62
27.03	131.55	-0.10
27.04	392.92	0.16
27.06	393.04	0.81
27.07	131.68	-0.04
27.10	131.77	-0.26
27.10	393.27	0.78
27.13	131.86	-0.14
27.14	393.55	0.78
27.16	393.69	0.98
27.17	131.99	-0.27
27.20	132.08	-0.04
27.20	393.99	0.75
27.22	394.20	0.95
27.24	132.20	-0.14
27.24	394.44	0.38
27.26	394.71	0.89
27.28	395.11	1.16
27.30	395.50	0.91
27.32	395.73	1.23
27.34	395.95	0.73
27.36	396.32	0.87
27.38	396.66	0.91
27.42	397.29	0.80
27.44	397.61	0.90
27.46	397.91	0.65
27.48	398.13	0.98
27.52	398.43	0.85
27.56	399.04	0.80
27.58	399.14	0.82
27.62	399.33	1.09
27.64	399.71	0.45
27.66	399.84	-0.15
27.68	399.97	0.86
27.72	400.22	1.01
27.76	400.52	1.15
27.78	400.70	1.20
27.84	401.25	1.13
27.86	401.41	1.03
27.88	401.54	1.07
27.92	401.98	1.27
27.94	402.20	1.11
27.96	402.58	1.13
27.98	402.95	0.80
28.02	403.69	0.98
28.04	403.90	1.08
28.06	404.12	0.98
28.08	404.33	0.04
28.12	405.08	1.08
28.14	405.21	1.22
28.18	405.48	1.05
28.22	405.98	1.19
28.26	406.81	1.02
28.28	407.13	0.97
28.32	407.56	1.09
28.34	408.19	0.98
28.42	409.37	1.01
28.44	409.49	1.05
28.46	409.61	1.09
28.48	409.73	1.29
28.52	409.98	1.00
28.54	410.20	0.97
28.56	410.43	0.92
28.58	410.66	1.01
28.62	410.92	0.01
28.64	411.13	0.11
28.66	411.42	0.86
28.68	411.64	1.16
28.72	412.09	0.31
28.76	412.64	1.07
28.78	412.92	-0.12
28.82	413.24	0.86
28.86	413.55	-0.25
28.88	413.71	0.02
28.92	414.30	0.19
28.94	414.59	-0.09
28.96	415.16	-0.70
28.98	415.44	0.68
29.04	416.09	0.99
29.06	416.26	-0.70
29.12	416.80	-0.44
29.14	416.98	-0.24
29.16	417.15	-0.23
29.22	417.69	0.53
29.24	417.87	0.49
29.28	418.22	0.61
29.32	418.58	0.27
29.34	418.76	0.01
29.36	418.93	0.03
29.38	419.11	0.70
29.42	419.47	0.74
29.44	419.64	0.60
29.46	419.82	0.67
29.48	420.00	0.71
